,19,81,127,123,29,99,120,34,104,71,66,24,10,89,26,1,37,9,55,92,56,16,83,48,119,33,31,40,113,109,91,73,47,70,32,59,65,61,36,95,15,58,105,2,112,102,27,50,6,43,80,62,87,77,101,4,3,69,90,11,18,110,74,5
Label,CAN     ,CAN     ,SUN,OO,SUN,CAN     ,OO,CAN     ,OO,OO,CAN     ,OO,OO,OO,OO,CAN     ,OO,OO,OO,OO,OO,SUN,CAN     ,SUN,OO,CAN     ,SUN,OO,CAN     ,SUN,OO,OO,SUN,OO,SUN,OO,CAN     ,SUN,CAN     ,SUN,SUN,OO,OO,CAN     ,SUN,OO,OO,CAN     ,OO,OO,SUN,SUN,OO,SUN,OO,CAN     ,CAN     ,OO,OO,OO,CAN     ,SUN,OO,OO
['1'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.085305483,-0.069584947,-0.099257939,-0.069932001,-0.077966286,-0.064041926,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.089509177,-0.108943954,-0.094249755,-0.080337194,-0.08612474,-0.070397263,-0.082468043,-0.09010523,-0.084385683,-0.086294695,-0.05831377,-0.070677438,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.077754688,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123975269,-0.067912337,-0.062975978,-0.101691386,-0.079198888,-0.067844612,-0.077268994,-0.069685359,-0.08060464,-0.134705224,-0.075225339,-0.090554704,-0.072281145,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.09801125
['1'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.085305483,-0.069584947,-0.099257939,-0.069932001,-0.077966286,-0.064041926,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.089509177,-0.108943954,-0.094249755,-0.080337194,-0.08612474,-0.070397263,-0.082468043,-0.09010523,-0.084385683,-0.086294695,-0.05831377,-0.070677438,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.077754688,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123975269,-0.067912337,-0.062975978,-0.101691386,-0.079198888,-0.067844612,-0.077268994,-0.069685359,-0.08060464,-0.134705224,-0.075225339,-0.090554704,-0.072281145,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.09801125
['2'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.082942426,-0.069584947,-0.098069515,-0.06794955,-0.077966286,-0.063658435,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.086892769,-0.108943954,-0.092605258,-0.080337194,-0.085341752,-0.070397263,-0.082468043,-0.09010523,-0.082364329,-0.086294695,-0.05831377,-0.068581499,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.076848248,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123629211,-0.067912337,-0.062975978,-0.100192682,-0.079198888,-0.067844612,-0.077268994,-0.067557822,-0.08060464,-0.133730778,-0.075225339,-0.090554704,-0.071506883,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.096941438
['2'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.082942426,-0.069584947,-0.098069515,-0.06794955,-0.077966286,-0.063658435,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.086892769,-0.108943954,-0.092605258,-0.080337194,-0.085341752,-0.070397263,-0.082468043,-0.09010523,-0.082364329,-0.086294695,-0.05831377,-0.068581499,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.076848248,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123629211,-0.067912337,-0.062975978,-0.100192682,-0.079198888,-0.067844612,-0.077268994,-0.067557822,-0.08060464,-0.133730778,-0.075225339,-0.090554704,-0.071506883,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.096941438
['3'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.080682432,-0.069584947,-0.096881847,-0.066051307,-0.077966286,-0.063012051,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.084346371,-0.108943954,-0.090843541,-0.080337194,-0.084334273,-0.070397263,-0.082468043,-0.09010523,-0.080314494,-0.086294695,-0.05831377,-0.066578404,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.07578886,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123298265,-0.067912337,-0.062975978,-0.098519132,-0.079198888,-0.067844612,-0.077268994,-0.065747592,-0.08060464,-0.132562129,-0.075225339,-0.090554704,-0.070714575,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.095876985
['3'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.080682432,-0.069584947,-0.096881847,-0.066051307,-0.077966286,-0.063012051,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.084346371,-0.108943954,-0.090843541,-0.080337194,-0.084334273,-0.070397263,-0.082468043,-0.09010523,-0.080314494,-0.086294695,-0.05831377,-0.066578404,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.07578886,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.123298265,-0.067912337,-0.062975978,-0.098519132,-0.079198888,-0.067844612,-0.077268994,-0.065747592,-0.08060464,-0.132562129,-0.075225339,-0.090554704,-0.070714575,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.095876985
['4'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.078559521,-0.069584947,-0.095717055,-0.064244809,-0.077966286,-0.062073375,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.081884609,-0.108943954,-0.088952629,-0.080337194,-0.083065459,-0.070397263,-0.082468043,-0.09010523,-0.078265825,-0.086294695,-0.05831377,-0.064722055,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.074566553,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.12296095,-0.067912337,-0.062975978,-0.096699018,-0.079198888,-0.067844612,-0.077268994,-0.064240213,-0.08060464,-0.131216238,-0.075225339,-0.090554704,-0.06992524,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.094795298
['4'],-0.06729819,-0.090619298,-0.102660537,-0.089424468,-0.069949718,-0.122869976,-0.078559521,-0.069584947,-0.095717055,-0.064244809,-0.077966286,-0.062073375,-0.090201865,-0.087181913,-0.065218613,-0.0975102,-0.081884609,-0.108943954,-0.088952629,-0.080337194,-0.083065459,-0.070397263,-0.082468043,-0.09010523,-0.078265825,-0.086294695,-0.05831377,-0.064722055,-0.094965585,-0.113577817,-0.089391758,-0.080659436,-0.093220647,-0.074566553,-0.057342273,-0.086116232,-0.08073239,-0.064799164,-0.070983071,-0.083665791,-0.075222713,-0.076618021,-0.116620153,-0.076762356,-0.099989231,-0.12296095,-0.067912337,-0.062975978,-0.096699018,-0.079198888,-0.067844612,-0.077268994,-0.064240213,-0.08060464,-0.131216238,-0.075225339,-0.090554704,-0.06992524,-0.093946406,-0.084966988,-0.06694918,-0.096054673,-0.074599328,-0.094795298
