,17,114,73,16,44,15,54,74,49,125,84,41,108,32,46,102,81,68,30,28,121,52,9,96,116,77,26,23,87,101,34,72,27,38,90,64,119,2,48,3,61,35,110,127,75,51,36,78,71,56,86,4,7,37,105,123,21,82,12,25,117,43,62,29
Label,CAN     ,CAN     ,OO,SUN,OO,SUN,OO,OO,CAN     ,SUN,CAN     ,OO,OO,SUN,SUN,OO,CAN     ,CAN     ,SUN,OO,OO,CAN     ,OO,SUN,CAN     ,SUN,OO,OO,OO,OO,CAN     ,OO,OO,OO,OO,SUN,OO,CAN     ,SUN,CAN     ,SUN,CAN     ,SUN,SUN,OO,CAN     ,CAN     ,SUN,OO,OO,OO,CAN     ,OO,OO,OO,OO,OO,CAN     ,OO,OO,OO,OO,SUN,SUN
['1'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.082274113,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123975269,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.06586687,-0.069685359,-0.134705224,-0.069584947,-0.055070003,-0.067912337,-0.081464713,-0.093946406,-0.078786316,-0.084385683,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.069932001,-0.08612474,-0.089768677,-0.075225339,-0.082282329,-0.089509177,-0.116620153,-0.089424468,-0.079630325,-0.089039936,-0.084385449,-0.081223132,-0.101195195,-0.079198888,-0.077268994,-0.069949718
['1'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.082274113,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123975269,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.06586687,-0.069685359,-0.134705224,-0.069584947,-0.055070003,-0.067912337,-0.081464713,-0.093946406,-0.078786316,-0.084385683,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.069932001,-0.08612474,-0.089768677,-0.075225339,-0.082282329,-0.089509177,-0.116620153,-0.089424468,-0.079630325,-0.089039936,-0.084385449,-0.081223132,-0.101195195,-0.079198888,-0.077268994,-0.069949718
['2'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.080425817,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123629211,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.064701342,-0.067557822,-0.133730778,-0.069584947,-0.053088274,-0.067912337,-0.080520118,-0.093946406,-0.078786316,-0.082364329,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.06794955,-0.085341752,-0.088679497,-0.075225339,-0.080304516,-0.086892769,-0.116620153,-0.089424468,-0.078697098,-0.089039936,-0.084385449,-0.081223132,-0.099598068,-0.079198888,-0.077268994,-0.069949718
['2'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.080425817,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123629211,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.064701342,-0.067557822,-0.133730778,-0.069584947,-0.053088274,-0.067912337,-0.080520118,-0.093946406,-0.078786316,-0.082364329,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.06794955,-0.085341752,-0.088679497,-0.075225339,-0.080304516,-0.086892769,-0.116620153,-0.089424468,-0.078697098,-0.089039936,-0.084385449,-0.081223132,-0.099598068,-0.079198888,-0.077268994,-0.069949718
['3'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.078456718,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123298265,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.063495576,-0.065747592,-0.132562129,-0.069584947,-0.051192722,-0.067912337,-0.079653197,-0.093946406,-0.078786316,-0.080314494,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.066051307,-0.084334273,-0.087466007,-0.075225339,-0.078414451,-0.084346371,-0.116620153,-0.089424468,-0.077529817,-0.089039936,-0.084385449,-0.081223132,-0.097995473,-0.079198888,-0.077268994,-0.069949718
['3'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.078456718,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.123298265,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.063495576,-0.065747592,-0.132562129,-0.069584947,-0.051192722,-0.067912337,-0.079653197,-0.093946406,-0.078786316,-0.080314494,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.066051307,-0.084334273,-0.087466007,-0.075225339,-0.078414451,-0.084346371,-0.116620153,-0.089424468,-0.077529817,-0.089039936,-0.084385449,-0.081223132,-0.097995473,-0.079198888,-0.077268994,-0.069949718
['4'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.076369903,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.12296095,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.062232756,-0.064240213,-0.131216238,-0.069584947,-0.049437467,-0.067912337,-0.078843649,-0.093946406,-0.078786316,-0.078265825,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.064244809,-0.083065459,-0.08612771,-0.075225339,-0.076635268,-0.081884609,-0.116620153,-0.089424468,-0.076110819,-0.089039936,-0.084385449,-0.081223132,-0.096394169,-0.079198888,-0.077268994,-0.069949718
['4'],-0.088969751,-0.098864828,-0.080659436,-0.070397263,-0.068789346,-0.075222713,-0.076369903,-0.074599328,-0.069792255,-0.11161445,-0.062453869,-0.083334252,-0.107277884,-0.057342273,-0.086714266,-0.12296095,-0.090619298,-0.06835276,-0.078390886,-0.088685041,-0.096108196,-0.070785182,-0.108943954,-0.086426349,-0.087249058,-0.08060464,-0.065218613,-0.062232756,-0.064240213,-0.131216238,-0.069584947,-0.049437467,-0.067912337,-0.078843649,-0.093946406,-0.078786316,-0.078265825,-0.076762356,-0.09010523,-0.090554704,-0.064799164,-0.067146467,-0.096054673,-0.102660537,-0.065648376,-0.067094619,-0.070983071,-0.091500676,-0.064244809,-0.083065459,-0.08612771,-0.075225339,-0.076635268,-0.081884609,-0.116620153,-0.089424468,-0.076110819,-0.089039936,-0.084385449,-0.081223132,-0.096394169,-0.079198888,-0.077268994,-0.069949718
