,88,93,53,11,113,8,55,50,100,40,106,19,107,115,126,63,65,24,18,109,39,124,69,111,57,1,83,6,47,94,97,60,92,10,20,95,104,14,98,76,59,128,70,120,112,118,5,80,66,122,99,31,67,58,79,91,22,13,33,42,45,85,89,103
Label,OO,SUN,OO,OO,CAN     ,OO,OO,CAN     ,CAN     ,OO,OO,CAN     ,OO,CAN     ,SUN,SUN,CAN     ,OO,CAN     ,SUN,OO,OO,OO,SUN,OO,CAN     ,CAN     ,OO,SUN,SUN,CAN     ,OO,OO,OO,CAN     ,SUN,OO,SUN,CAN     ,OO,OO,SUN,OO,OO,SUN,OO,OO,SUN,CAN     ,OO,CAN     ,SUN,CAN     ,OO,SUN,OO,OO,SUN,CAN     ,OO,SUN,OO,OO,OO
['75'],-0.046248371,-0.061196856,-0.062701953,-0.063505332,-0.104905381,-0.050555464,-0.047234863,-0.068447957,-0.104266139,-0.032247096,-0.01680071,-0.072856944,-0.036793895,-0.089717627,-0.073690784,-0.047294104,-0.066716596,-0.042305981,-0.072201316,-0.063068463,-0.042306756,-0.061235073,-0.037884601,-0.033301917,-0.031179607,-0.091632336,-0.074426279,-0.085018306,-0.038795148,-0.0583883,-0.111698612,-0.028401257,-0.062304342,-0.071835281,-0.075043851,-0.050187942,-0.031128119,-0.014216396,-0.093918007,-0.038236256,-0.039715673,-0.079652123,-0.042523483,-0.061138371,-0.046658526,-0.064865105,-0.072119099,-0.046617875,-0.078416372,-0.074436918,-0.093498693,-0.078397501,-0.065283651,-0.044679889,-0.059073718,-0.043501466,-0.045456181,-0.024634764,-0.065305398,-0.03429496,-0.062459033,-0.051406361,-0.056869168,-0.050127175
['75'],-0.046248371,-0.061196856,-0.062701953,-0.063505332,-0.104905381,-0.050555464,-0.047234863,-0.068447957,-0.104266139,-0.032247096,-0.01680071,-0.072856944,-0.036793895,-0.089717627,-0.073690784,-0.047294104,-0.066716596,-0.042305981,-0.072201316,-0.063068463,-0.042306756,-0.061235073,-0.037884601,-0.033301917,-0.031179607,-0.091632336,-0.074426279,-0.085018306,-0.038795148,-0.0583883,-0.111698612,-0.028401257,-0.062304342,-0.071835281,-0.075043851,-0.050187942,-0.031128119,-0.014216396,-0.093918007,-0.038236256,-0.039715673,-0.079652123,-0.042523483,-0.061138371,-0.046658526,-0.064865105,-0.072119099,-0.046617875,-0.078416372,-0.074436918,-0.093498693,-0.078397501,-0.065283651,-0.044679889,-0.059073718,-0.043501466,-0.045456181,-0.024634764,-0.065305398,-0.03429496,-0.062459033,-0.051406361,-0.056869168,-0.050127175
['76'],-0.046270285,-0.059671773,-0.061777859,-0.062158749,-0.104781188,-0.050524278,-0.045252027,-0.068829491,-0.103722156,-0.030728203,-0.014936984,-0.072193398,-0.034213965,-0.089631754,-0.072798267,-0.047204824,-0.066647137,-0.042402288,-0.072828846,-0.060241771,-0.041068907,-0.060461568,-0.03749469,-0.0322535,-0.030050717,-0.091573695,-0.072258072,-0.08348282,-0.037183579,-0.056607552,-0.110774016,-0.026917675,-0.06109961,-0.070282114,-0.074084137,-0.047849261,-0.028871966,-0.011928256,-0.092892856,-0.036544055,-0.038280757,-0.078734311,-0.040449979,-0.059368314,-0.044728142,-0.064127484,-0.07098872,-0.046175685,-0.078426646,-0.072439639,-0.093012212,-0.076342203,-0.065185011,-0.043286728,-0.05815449,-0.042725674,-0.044790352,-0.02237146,-0.063414027,-0.033174926,-0.060659596,-0.049729828,-0.054233619,-0.048085567
['76'],-0.046270285,-0.059671773,-0.061777859,-0.062158749,-0.104781188,-0.050524278,-0.045252027,-0.068829491,-0.103722156,-0.030728203,-0.014936984,-0.072193398,-0.034213965,-0.089631754,-0.072798267,-0.047204824,-0.066647137,-0.042402288,-0.072828846,-0.060241771,-0.041068907,-0.060461568,-0.03749469,-0.0322535,-0.030050717,-0.091573695,-0.072258072,-0.08348282,-0.037183579,-0.056607552,-0.110774016,-0.026917675,-0.06109961,-0.070282114,-0.074084137,-0.047849261,-0.028871966,-0.011928256,-0.092892856,-0.036544055,-0.038280757,-0.078734311,-0.040449979,-0.059368314,-0.044728142,-0.064127484,-0.07098872,-0.046175685,-0.078426646,-0.072439639,-0.093012212,-0.076342203,-0.065185011,-0.043286728,-0.05815449,-0.042725674,-0.044790352,-0.02237146,-0.063414027,-0.033174926,-0.060659596,-0.049729828,-0.054233619,-0.048085567
['77'],-0.045965077,-0.05804296,-0.060704082,-0.060826601,-0.10466888,-0.050559791,-0.043187313,-0.06901707,-0.10286193,-0.029014433,-0.0131395,-0.07160571,-0.031469793,-0.089485335,-0.071844494,-0.047043595,-0.066622294,-0.042333362,-0.07340468,-0.057295564,-0.039594633,-0.059682474,-0.037084008,-0.031149156,-0.028909781,-0.091291096,-0.07007351,-0.081916365,-0.035633142,-0.054821777,-0.109839841,-0.02538219,-0.05966248,-0.068675316,-0.072988483,-0.045427849,-0.026664201,-0.009475918,-0.091809701,-0.034798782,-0.036876888,-0.077740065,-0.038460096,-0.057507753,-0.042730536,-0.063293843,-0.069815506,-0.045753378,-0.078508077,-0.070370027,-0.092460851,-0.074311682,-0.06498755,-0.041702865,-0.057046365,-0.042140671,-0.044375299,-0.020014738,-0.061555301,-0.031893299,-0.058720275,-0.048105179,-0.051739194,-0.045942712
['77'],-0.045965077,-0.05804296,-0.060704082,-0.060826601,-0.10466888,-0.050559791,-0.043187313,-0.06901707,-0.10286193,-0.029014433,-0.0131395,-0.07160571,-0.031469793,-0.089485335,-0.071844494,-0.047043595,-0.066622294,-0.042333362,-0.07340468,-0.057295564,-0.039594633,-0.059682474,-0.037084008,-0.031149156,-0.028909781,-0.091291096,-0.07007351,-0.081916365,-0.035633142,-0.054821777,-0.109839841,-0.02538219,-0.05966248,-0.068675316,-0.072988483,-0.045427849,-0.026664201,-0.009475918,-0.091809701,-0.034798782,-0.036876888,-0.077740065,-0.038460096,-0.057507753,-0.042730536,-0.063293843,-0.069815506,-0.045753378,-0.078508077,-0.070370027,-0.092460851,-0.074311682,-0.06498755,-0.041702865,-0.057046365,-0.042140671,-0.044375299,-0.020014738,-0.061555301,-0.031893299,-0.058720275,-0.048105179,-0.051739194,-0.045942712
['78'],-0.045286536,-0.056328429,-0.059512937,-0.059495498,-0.104581002,-0.050628562,-0.041061465,-0.068923524,-0.101683669,-0.027116994,-0.011368872,-0.071102466,-0.028553939,-0.089266131,-0.070818934,-0.046788751,-0.066591047,-0.042082871,-0.073847625,-0.054242322,-0.037871086,-0.058863568,-0.036637341,-0.029949317,-0.027734711,-0.090780003,-0.067916626,-0.08035917,-0.034121943,-0.053042485,-0.108872161,-0.023803476,-0.057997828,-0.06700986,-0.071770765,-0.042929973,-0.024504312,-0.006858385,-0.09066421,-0.032969254,-0.035514508,-0.076656981,-0.036589602,-0.055584403,-0.040668389,-0.06237247,-0.068627342,-0.045285293,-0.078574238,-0.068301995,-0.091820714,-0.072334069,-0.064663742,-0.039908504,-0.055790672,-0.041731959,-0.044230814,-0.017614084,-0.059731338,-0.030423515,-0.056673533,-0.046556509,-0.04942513,-0.043711398
['78'],-0.045286536,-0.056328429,-0.059512937,-0.059495498,-0.104581002,-0.050628562,-0.041061465,-0.068923524,-0.101683669,-0.027116994,-0.011368872,-0.071102466,-0.028553939,-0.089266131,-0.070818934,-0.046788751,-0.066591047,-0.042082871,-0.073847625,-0.054242322,-0.037871086,-0.058863568,-0.036637341,-0.029949317,-0.027734711,-0.090780003,-0.067916626,-0.08035917,-0.034121943,-0.053042485,-0.108872161,-0.023803476,-0.057997828,-0.06700986,-0.071770765,-0.042929973,-0.024504312,-0.006858385,-0.09066421,-0.032969254,-0.035514508,-0.076656981,-0.036589602,-0.055584403,-0.040668389,-0.06237247,-0.068627342,-0.045285293,-0.078574238,-0.068301995,-0.091820714,-0.072334069,-0.064663742,-0.039908504,-0.055790672,-0.041731959,-0.044230814,-0.017614084,-0.059731338,-0.030423515,-0.056673533,-0.046556509,-0.04942513,-0.043711398
['79'],-0.044214304,-0.054548437,-0.058239741,-0.058151782,-0.104529067,-0.050689147,-0.038899526,-0.0684882,-0.100204469,-0.025052866,-0.009578448,-0.070687975,-0.02546334,-0.088958697,-0.069716947,-0.046415316,-0.06652023,-0.041652825,-0.07409291,-0.051093244,-0.035908713,-0.057975774,-0.036135312,-0.028612512,-0.02649568,-0.090044567,-0.065822256,-0.07884969,-0.032623276,-0.051282197,-0.107847339,-0.022178615,-0.056118976,-0.065280097,-0.070453634,-0.040364478,-0.022380197,-0.004079252,-0.089454808,-0.031041555,-0.034202191,-0.075472277,-0.034857168,-0.053622777,-0.038546356,-0.061377229,-0.067444135,-0.044712774,-0.078533681,-0.066309153,-0.091066816,-0.070424806,-0.064202902,-0.037890655,-0.054432365,-0.041470839,-0.044352546,-0.015212116,-0.057940957,-0.028743192,-0.054550545,-0.045104187,-0.047308299,-0.041400892
