,47,63,23,28,26,13,59,83,78,80,45,4,8,42,97,2,32,1,56,120,18,41,69,104,121,66,38,87,102,39,94,54,57,124,37,65,82,31,84,90,64,99,127,93,53,5,29,119,96,14,115,111,52,40,103,27,24,70,85,19,11,49,3,22
Label,SUN,SUN,OO,OO,OO,SUN,OO,CAN     ,SUN,SUN,SUN,CAN     ,OO,OO,CAN     ,CAN     ,SUN,CAN     ,OO,OO,CAN     ,OO,OO,OO,OO,CAN     ,OO,OO,OO,OO,SUN,OO,OO,OO,OO,CAN     ,CAN     ,SUN,CAN     ,OO,SUN,CAN     ,SUN,SUN,OO,OO,SUN,OO,SUN,SUN,CAN     ,SUN,CAN     ,OO,OO,OO,OO,OO,OO,CAN     ,OO,CAN     ,CAN     ,OO
['33'],-0.074569175,-0.066431606,-0.041344562,-0.070798411,-0.048970304,-0.072705939,-0.058321026,-0.07795711,-0.075332062,-0.061778837,-0.08623366,-0.090819285,-0.059377638,-0.066955837,-0.126783699,-0.081045127,-0.067017174,-0.107850913,-0.052673486,-0.063937864,-0.075786906,-0.060060681,-0.049663716,-0.083617734,-0.078677276,-0.080687302,-0.055196609,-0.061590929,-0.096880652,-0.060252997,-0.079002399,-0.067418691,-0.057868004,-0.070207987,-0.048611988,-0.082661649,-0.092285563,-0.07192407,-0.073203357,-0.074531724,-0.072600848,-0.107647365,-0.085891735,-0.072454681,-0.070150186,-0.06204592,-0.087820878,-0.058948275,-0.066405756,-0.063346057,-0.103885367,-0.076124192,-0.058236143,-0.046077572,-0.091655662,-0.047778999,-0.03665695,-0.057895048,-0.070813127,-0.08434729,-0.070400352,-0.077667218,-0.090829255,-0.035580193
['33'],-0.074569175,-0.066431606,-0.041344562,-0.070798411,-0.048970304,-0.072705939,-0.058321026,-0.07795711,-0.075332062,-0.061778837,-0.08623366,-0.090819285,-0.059377638,-0.066955837,-0.126783699,-0.081045127,-0.067017174,-0.107850913,-0.052673486,-0.063937864,-0.075786906,-0.060060681,-0.049663716,-0.083617734,-0.078677276,-0.080687302,-0.055196609,-0.061590929,-0.096880652,-0.060252997,-0.079002399,-0.067418691,-0.057868004,-0.070207987,-0.048611988,-0.082661649,-0.092285563,-0.07192407,-0.073203357,-0.074531724,-0.072600848,-0.107647365,-0.085891735,-0.072454681,-0.070150186,-0.06204592,-0.087820878,-0.058948275,-0.066405756,-0.063346057,-0.103885367,-0.076124192,-0.058236143,-0.046077572,-0.091655662,-0.047778999,-0.03665695,-0.057895048,-0.070813127,-0.08434729,-0.070400352,-0.077667218,-0.090829255,-0.035580193
['34'],-0.072872536,-0.066386968,-0.042276441,-0.072201815,-0.049883266,-0.071309999,-0.057715095,-0.078869448,-0.074272782,-0.061375884,-0.085291443,-0.091066152,-0.059768051,-0.066842319,-0.126532322,-0.081852438,-0.067714394,-0.108771167,-0.052412223,-0.06428877,-0.075878754,-0.059059069,-0.04983832,-0.082258947,-0.07947103,-0.081377128,-0.054531571,-0.06102502,-0.096271085,-0.060842671,-0.078599731,-0.067207303,-0.057066092,-0.070324692,-0.048135914,-0.082973904,-0.092711504,-0.072326745,-0.073295753,-0.074063928,-0.071997797,-0.10713193,-0.085913688,-0.072080116,-0.069953779,-0.063130536,-0.090013484,-0.059623079,-0.066195988,-0.062919323,-0.104142318,-0.075365109,-0.057590651,-0.045987989,-0.091568251,-0.049761405,-0.037811298,-0.057490031,-0.071667154,-0.084812748,-0.069527947,-0.078870221,-0.090196082,-0.036524949
['34'],-0.072872536,-0.066386968,-0.042276441,-0.072201815,-0.049883266,-0.071309999,-0.057715095,-0.078869448,-0.074272782,-0.061375884,-0.085291443,-0.091066152,-0.059768051,-0.066842319,-0.126532322,-0.081852438,-0.067714394,-0.108771167,-0.052412223,-0.06428877,-0.075878754,-0.059059069,-0.04983832,-0.082258947,-0.07947103,-0.081377128,-0.054531571,-0.06102502,-0.096271085,-0.060842671,-0.078599731,-0.067207303,-0.057066092,-0.070324692,-0.048135914,-0.082973904,-0.092711504,-0.072326745,-0.073295753,-0.074063928,-0.071997797,-0.10713193,-0.085913688,-0.072080116,-0.069953779,-0.063130536,-0.090013484,-0.059623079,-0.066195988,-0.062919323,-0.104142318,-0.075365109,-0.057590651,-0.045987989,-0.091568251,-0.049761405,-0.037811298,-0.057490031,-0.071667154,-0.084812748,-0.069527947,-0.078870221,-0.090196082,-0.036524949
['35'],-0.071310784,-0.066267721,-0.04307663,-0.073725201,-0.050870372,-0.069850652,-0.057356229,-0.079841382,-0.073276228,-0.060948602,-0.084240807,-0.091212513,-0.060131064,-0.066610294,-0.126295993,-0.082819779,-0.068627844,-0.109600111,-0.052333904,-0.064594292,-0.076006372,-0.058140308,-0.050213907,-0.080785677,-0.080420414,-0.081898094,-0.053947525,-0.060465086,-0.095632654,-0.061601758,-0.078337837,-0.06683576,-0.056294455,-0.070553987,-0.047879902,-0.083234684,-0.093069607,-0.072734318,-0.073339468,-0.073835164,-0.071442032,-0.10679512,-0.086055408,-0.071811602,-0.069613446,-0.064218695,-0.092101611,-0.060405027,-0.065983457,-0.062579627,-0.104334797,-0.07447528,-0.05701307,-0.045882891,-0.091394885,-0.051867541,-0.038897729,-0.056917406,-0.072471484,-0.085067725,-0.068761837,-0.079976644,-0.089564642,-0.03751524
['35'],-0.071310784,-0.066267721,-0.04307663,-0.073725201,-0.050870372,-0.069850652,-0.057356229,-0.079841382,-0.073276228,-0.060948602,-0.084240807,-0.091212513,-0.060131064,-0.066610294,-0.126295993,-0.082819779,-0.068627844,-0.109600111,-0.052333904,-0.064594292,-0.076006372,-0.058140308,-0.050213907,-0.080785677,-0.080420414,-0.081898094,-0.053947525,-0.060465086,-0.095632654,-0.061601758,-0.078337837,-0.06683576,-0.056294455,-0.070553987,-0.047879902,-0.083234684,-0.093069607,-0.072734318,-0.073339468,-0.073835164,-0.071442032,-0.10679512,-0.086055408,-0.071811602,-0.069613446,-0.064218695,-0.092101611,-0.060405027,-0.065983457,-0.062579627,-0.104334797,-0.07447528,-0.05701307,-0.045882891,-0.091394885,-0.051867541,-0.038897729,-0.056917406,-0.072471484,-0.085067725,-0.068761837,-0.079976644,-0.089564642,-0.03751524
['36'],-0.069892079,-0.066081876,-0.043760773,-0.07529391,-0.051939014,-0.068328739,-0.057259031,-0.080809935,-0.072384735,-0.060465543,-0.083105688,-0.091259762,-0.060482693,-0.066240721,-0.126101439,-0.083917759,-0.069760975,-0.110287391,-0.052456043,-0.064832919,-0.076174324,-0.057311726,-0.050768453,-0.079229066,-0.081486673,-0.082286845,-0.053502744,-0.059952192,-0.09498184,-0.062522473,-0.078186774,-0.066301604,-0.055560474,-0.070875517,-0.047876314,-0.083416308,-0.093340328,-0.073137396,-0.073372704,-0.073884773,-0.070892701,-0.106607866,-0.08630024,-0.07168087,-0.069138481,-0.065282792,-0.094032107,-0.061289328,-0.065771122,-0.062323922,-0.10444411,-0.073448456,-0.05653321,-0.045760793,-0.091118466,-0.054033457,-0.039876894,-0.056198417,-0.073151213,-0.085118528,-0.068112239,-0.080979116,-0.08894117,-0.038568414
['36'],-0.069892079,-0.066081876,-0.043760773,-0.07529391,-0.051939014,-0.068328739,-0.057259031,-0.080809935,-0.072384735,-0.060465543,-0.083105688,-0.091259762,-0.060482693,-0.066240721,-0.126101439,-0.083917759,-0.069760975,-0.110287391,-0.052456043,-0.064832919,-0.076174324,-0.057311726,-0.050768453,-0.079229066,-0.081486673,-0.082286845,-0.053502744,-0.059952192,-0.09498184,-0.062522473,-0.078186774,-0.066301604,-0.055560474,-0.070875517,-0.047876314,-0.083416308,-0.093340328,-0.073137396,-0.073372704,-0.073884773,-0.070892701,-0.106607866,-0.08630024,-0.07168087,-0.069138481,-0.065282792,-0.094032107,-0.061289328,-0.065771122,-0.062323922,-0.10444411,-0.073448456,-0.05653321,-0.045760793,-0.091118466,-0.054033457,-0.039876894,-0.056198417,-0.073151213,-0.085118528,-0.068112239,-0.080979116,-0.08894117,-0.038568414
