,128,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Label,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN
['202'],0.942189808,0.930768028,0.940637935,0.919362503,0.903522259,1.454827124,1.410697647,1.416061967,1.392281892,1.422342824,1.404350383,1.354655906,1.334454769,0.744334357,0.719904837,0.720073346,0.723681776,0.875605639,0.88470445,0.882345799,0.858047212,1.447203843,1.450145613,1.383652164,1.373329585,1.525958413,1.488547539,1.488669108,1.42007259,1.37149059,1.381474083,1.372287117,1.357599308,0.928682029,0.912756184,0.89381467,0.875186688,1.516497895,1.452349877,1.441857686,1.418452824,1.468194527,1.436332259,1.407324721,1.390079991,0.881844304,0.899983187,0.89473201,0.889140683,1.138198189,1.104990972,1.072455236,1.049503155,1.457334047,1.430375697,1.415893843,1.382517193,1.612260087,1.564140209,1.530678774,1.515831453,1.083753092,1.018120572,0.98243871,0.967033958,1.118921711,1.028876697,1.046869679,1.036989194,1.566533382,1.542626587,1.530710052,1.528077096,1.695774193,1.636402864,1.618350634,1.564921513,1.097126924,1.087517064,1.087766853,1.071787336,1.029655237,0.99665166,0.96730618,0.989121809,1.309350096,1.272495213,1.265552807,1.245182802,1.415468372,1.388080917,1.370971341,1.352874204,1.204115113,1.111699096,1.071974887,1.047979406,0.899421748,0.878452245,0.881625286,0.858992958,1.345512462,1.342883409,1.320289798,1.332494728,1.289951138,1.267167942,1.24978923,1.241285864,1.083645775,1.070938932,1.062300302,1.06189196,0.89005632,0.880437825,0.894456048,0.858673817,1.388983342,1.345939608,1.358326118,1.360013398,1.366121467,1.344055432,1.338824038,1.352829813,0.995050189,0.98003211,0.958275388
['202'],0.942189808,0.930768028,0.940637935,0.919362503,0.903522259,1.454827124,1.410697647,1.416061967,1.392281892,1.422342824,1.404350383,1.354655906,1.334454769,0.744334357,0.719904837,0.720073346,0.723681776,0.875605639,0.88470445,0.882345799,0.858047212,1.447203843,1.450145613,1.383652164,1.373329585,1.525958413,1.488547539,1.488669108,1.42007259,1.37149059,1.381474083,1.372287117,1.357599308,0.928682029,0.912756184,0.89381467,0.875186688,1.516497895,1.452349877,1.441857686,1.418452824,1.468194527,1.436332259,1.407324721,1.390079991,0.881844304,0.899983187,0.89473201,0.889140683,1.138198189,1.104990972,1.072455236,1.049503155,1.457334047,1.430375697,1.415893843,1.382517193,1.612260087,1.564140209,1.530678774,1.515831453,1.083753092,1.018120572,0.98243871,0.967033958,1.118921711,1.028876697,1.046869679,1.036989194,1.566533382,1.542626587,1.530710052,1.528077096,1.695774193,1.636402864,1.618350634,1.564921513,1.097126924,1.087517064,1.087766853,1.071787336,1.029655237,0.99665166,0.96730618,0.989121809,1.309350096,1.272495213,1.265552807,1.245182802,1.415468372,1.388080917,1.370971341,1.352874204,1.204115113,1.111699096,1.071974887,1.047979406,0.899421748,0.878452245,0.881625286,0.858992958,1.345512462,1.342883409,1.320289798,1.332494728,1.289951138,1.267167942,1.24978923,1.241285864,1.083645775,1.070938932,1.062300302,1.06189196,0.89005632,0.880437825,0.894456048,0.858673817,1.388983342,1.345939608,1.358326118,1.360013398,1.366121467,1.344055432,1.338824038,1.352829813,0.995050189,0.98003211,0.958275388
['201'],0.943701007,0.978551456,0.983816363,0.964407424,0.949451647,1.509785552,1.464363108,1.470278664,1.442582381,1.436424959,1.418434478,1.365416593,1.344212892,0.745958964,0.720981901,0.722442782,0.725147981,0.919290812,0.928457418,0.929110665,0.902163187,1.509627728,1.511914601,1.441988566,1.433559158,1.588683731,1.551055414,1.55314159,1.481033996,1.417085133,1.430543898,1.427311827,1.413528143,0.937202582,0.917778945,0.897085475,0.88025195,1.538145385,1.470370752,1.457925971,1.433051174,1.478348137,1.445969212,1.416616327,1.399335192,0.882771332,0.900424793,0.89553125,0.889490106,1.177515856,1.139019974,1.102709564,1.078085485,1.478114663,1.451215906,1.434496202,1.40143277,1.615255078,1.564582139,1.531757612,1.516825773,1.096172375,1.027275358,0.991946563,0.975434651,1.160059568,1.06886389,1.088536305,1.073127404,1.629256892,1.595911065,1.574752455,1.561956214,1.732153533,1.6620414,1.630859263,1.574231369,1.098087272,1.088243417,1.088437521,1.069319784,1.056016284,1.021455397,0.992017751,1.011114699,1.331435848,1.292200346,1.285550799,1.264057333,1.425724774,1.394349555,1.376844352,1.357948619,1.209770249,1.114547001,1.075503324,1.050469869,0.905758323,0.884876874,0.887797453,0.865126919,1.351841804,1.350752933,1.328476519,1.340143878,1.290052955,1.266425578,1.24989928,1.239720759,1.090704561,1.077301587,1.069765955,1.068598283,0.924057555,0.914045698,0.924951979,0.891459837,1.423967237,1.38345824,1.39563439,1.395458955,1.396655555,1.373696883,1.364895762,1.375192991,0.997574903,0.982517471,0.960099428
['201'],0.943701007,0.978551456,0.983816363,0.964407424,0.949451647,1.509785552,1.464363108,1.470278664,1.442582381,1.436424959,1.418434478,1.365416593,1.344212892,0.745958964,0.720981901,0.722442782,0.725147981,0.919290812,0.928457418,0.929110665,0.902163187,1.509627728,1.511914601,1.441988566,1.433559158,1.588683731,1.551055414,1.55314159,1.481033996,1.417085133,1.430543898,1.427311827,1.413528143,0.937202582,0.917778945,0.897085475,0.88025195,1.538145385,1.470370752,1.457925971,1.433051174,1.478348137,1.445969212,1.416616327,1.399335192,0.882771332,0.900424793,0.89553125,0.889490106,1.177515856,1.139019974,1.102709564,1.078085485,1.478114663,1.451215906,1.434496202,1.40143277,1.615255078,1.564582139,1.531757612,1.516825773,1.096172375,1.027275358,0.991946563,0.975434651,1.160059568,1.06886389,1.088536305,1.073127404,1.629256892,1.595911065,1.574752455,1.561956214,1.732153533,1.6620414,1.630859263,1.574231369,1.098087272,1.088243417,1.088437521,1.069319784,1.056016284,1.021455397,0.992017751,1.011114699,1.331435848,1.292200346,1.285550799,1.264057333,1.425724774,1.394349555,1.376844352,1.357948619,1.209770249,1.114547001,1.075503324,1.050469869,0.905758323,0.884876874,0.887797453,0.865126919,1.351841804,1.350752933,1.328476519,1.340143878,1.290052955,1.266425578,1.24989928,1.239720759,1.090704561,1.077301587,1.069765955,1.068598283,0.924057555,0.914045698,0.924951979,0.891459837,1.423967237,1.38345824,1.39563439,1.395458955,1.396655555,1.373696883,1.364895762,1.375192991,0.997574903,0.982517471,0.960099428
['203'],0.939278457,0.883237987,0.897165166,0.874520439,0.85805086,1.397464187,1.355127552,1.359759449,1.340038754,1.403693991,1.385956391,1.339984231,1.320938737,0.741930115,0.718269624,0.717170938,0.721537636,0.83264229,0.841456188,0.836454056,0.814769425,1.384330586,1.387798987,1.325239434,1.313084279,1.461834086,1.424982927,1.423250303,1.358296585,1.3236125,1.329876499,1.315719964,1.30001711,0.918198108,0.905898898,0.888878285,0.868861669,1.492467825,1.432529145,1.423965008,1.402090099,1.457512096,1.426412244,1.397793641,1.38051209,0.880608551,0.899050164,0.893495446,0.888392904,1.096263655,1.068464322,1.039516115,1.018346017,1.433850245,1.407346957,1.395010687,1.361559045,1.607058602,1.561883452,1.527876093,1.513175499,1.07232832,1.00948723,0.973337849,0.959016064,1.075497871,0.987945874,1.003783006,0.999579773,1.502716274,1.487953324,1.483775066,1.490731143,1.656125015,1.607314322,1.60289812,1.553409706,1.09530065,1.086237369,1.08641323,1.0737807,1.001955686,0.970408737,0.941232356,0.965572379,1.286797818,1.252563591,1.245449637,1.226749529,1.404071227,1.38100986,1.364370803,1.346627363,1.197307744,1.108466663,1.06795035,1.045222501,0.891503551,0.870533955,0.874075814,0.851677933,1.337612365,1.3334019,1.310641689,1.323005404,1.288553139,1.266906982,1.248406532,1.241631193,1.074848778,1.062936946,1.05318407,1.053536428,0.855624319,0.846750794,0.863105487,0.825823871,1.351577266,1.306931772,1.319468977,1.322647718,1.333870409,1.312427906,1.310719217,1.328053851,0.990955889,0.976367393,0.955159199
['203'],0.939278457,0.883237987,0.897165166,0.874520439,0.85805086,1.397464187,1.355127552,1.359759449,1.340038754,1.403693991,1.385956391,1.339984231,1.320938737,0.741930115,0.718269624,0.717170938,0.721537636,0.83264229,0.841456188,0.836454056,0.814769425,1.384330586,1.387798987,1.325239434,1.313084279,1.461834086,1.424982927,1.423250303,1.358296585,1.3236125,1.329876499,1.315719964,1.30001711,0.918198108,0.905898898,0.888878285,0.868861669,1.492467825,1.432529145,1.423965008,1.402090099,1.457512096,1.426412244,1.397793641,1.38051209,0.880608551,0.899050164,0.893495446,0.888392904,1.096263655,1.068464322,1.039516115,1.018346017,1.433850245,1.407346957,1.395010687,1.361559045,1.607058602,1.561883452,1.527876093,1.513175499,1.07232832,1.00948723,0.973337849,0.959016064,1.075497871,0.987945874,1.003783006,0.999579773,1.502716274,1.487953324,1.483775066,1.490731143,1.656125015,1.607314322,1.60289812,1.553409706,1.09530065,1.086237369,1.08641323,1.0737807,1.001955686,0.970408737,0.941232356,0.965572379,1.286797818,1.252563591,1.245449637,1.226749529,1.404071227,1.38100986,1.364370803,1.346627363,1.197307744,1.108466663,1.06795035,1.045222501,0.891503551,0.870533955,0.874075814,0.851677933,1.337612365,1.3334019,1.310641689,1.323005404,1.288553139,1.266906982,1.248406532,1.241631193,1.074848778,1.062936946,1.05318407,1.053536428,0.855624319,0.846750794,0.863105487,0.825823871,1.351577266,1.306931772,1.319468977,1.322647718,1.333870409,1.312427906,1.310719217,1.328053851,0.990955889,0.976367393,0.955159199
['200'],0.943865469,1.025896621,1.02611003,1.009077238,0.995244637,1.561481977,1.515285003,1.521573141,1.490213769,1.445827027,1.428056564,1.372261531,1.350187167,0.746757691,0.72145302,0.724219032,0.725887285,0.963259329,0.972269694,0.976285771,0.946666995,1.570886595,1.572359617,1.499663256,1.49318291,1.648991706,1.611518535,1.615494215,1.540302895,1.459741434,1.476380561,1.479920339,1.466925675,0.943877152,0.921210457,0.89890157,0.884155479,1.55747118,1.486688662,1.472314679,1.44611814,1.487879981,1.455209869,1.425606498,1.408147941,0.883395444,0.900433683,0.895891938,0.889462932,1.213510296,1.169992065,1.129919117,1.103835599,1.496573322,1.470041874,1.451015959,1.418458926,1.616340963,1.56359525,1.531380267,1.516366221,1.109375503,1.036794299,1.001659907,0.984072822,1.198155992,1.107396962,1.128149406,1.107489273,1.690050543,1.647164833,1.615356546,1.592021871,1.764977912,1.684091517,1.640766165,1.581680724,1.098207956,1.088353871,1.088481362,1.066468617,1.080922419,1.044772476,1.015219948,1.031540381,1.353233802,1.311909829,1.30548078,1.283369327,1.434912709,1.399966974,1.382117933,1.362074967,1.214291905,1.116998941,1.078450277,1.052701093,0.910640621,0.889917124,0.892677601,0.870144955,1.356746579,1.357095242,1.335319707,1.346039242,1.289059726,1.26486105,1.248891007,1.237111934,1.095926621,1.081938385,1.075485694,1.073580642,0.957237791,0.947252703,0.954282397,0.923896875,1.456072889,1.419028574,1.430937491,1.428529396,1.425141561,1.400960478,1.38857094,1.394888246,0.998602575,0.983873326,0.960671317
['200'],0.943865469,1.025896621,1.02611003,1.009077238,0.995244637,1.561481977,1.515285003,1.521573141,1.490213769,1.445827027,1.428056564,1.372261531,1.350187167,0.746757691,0.72145302,0.724219032,0.725887285,0.963259329,0.972269694,0.976285771,0.946666995,1.570886595,1.572359617,1.499663256,1.49318291,1.648991706,1.611518535,1.615494215,1.540302895,1.459741434,1.476380561,1.479920339,1.466925675,0.943877152,0.921210457,0.89890157,0.884155479,1.55747118,1.486688662,1.472314679,1.44611814,1.487879981,1.455209869,1.425606498,1.408147941,0.883395444,0.900433683,0.895891938,0.889462932,1.213510296,1.169992065,1.129919117,1.103835599,1.496573322,1.470041874,1.451015959,1.418458926,1.616340963,1.56359525,1.531380267,1.516366221,1.109375503,1.036794299,1.001659907,0.984072822,1.198155992,1.107396962,1.128149406,1.107489273,1.690050543,1.647164833,1.615356546,1.592021871,1.764977912,1.684091517,1.640766165,1.581680724,1.098207956,1.088353871,1.088481362,1.066468617,1.080922419,1.044772476,1.015219948,1.031540381,1.353233802,1.311909829,1.30548078,1.283369327,1.434912709,1.399966974,1.382117933,1.362074967,1.214291905,1.116998941,1.078450277,1.052701093,0.910640621,0.889917124,0.892677601,0.870144955,1.356746579,1.357095242,1.335319707,1.346039242,1.289059726,1.26486105,1.248891007,1.237111934,1.095926621,1.081938385,1.075485694,1.073580642,0.957237791,0.947252703,0.954282397,0.923896875,1.456072889,1.419028574,1.430937491,1.428529396,1.425141561,1.400960478,1.38857094,1.394888246,0.998602575,0.983873326,0.960671317
