,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Label,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
['1'],12545.27455,13777.03722,15944.49653,13917.89515,16315.10418,15418.48791,11137.74901,12742.40786,9380.385078,12474.0,9365.323212,12943.0372,10552.55565,7028.408469,13595.11937,9462.56331,11623.64696,6059.370253,11700.72741,17258.98937,14681.50396,12136.14154,11971.1412,11685.79049,12574.13587,12698.22252,11530.73203,9987.562404,13994.44641,11036.59798,17109.88794,12929.38625,13927.51077,15631.91325,16294.63279,12373.86712,15887.5432,9257.053463,11821.44571,8427.195675,12355.48824,10509.07265,19065.73038,15713.36707,8427.602675,14124.27554,14101.88439,14237.88301,11583.40006,9618.480278,10907.66277,12901.23727,17752.85981,10077.94985,9631.873391,9848.574329,12906.72526,15677.96497,7124.603578,15010.02997,10370.73717,10746.38598,16257.40691,12134.47248,10851.16805,14891.44209,12063.08201,8090.208268,12866.99318,11010.83338,12901.98629,13834.37955,13008.84116,14498.61682,11009.93142,13655.60342,17889.03441,11834.47534
['1'],12545.27455,13777.03722,15944.49653,13917.89515,16315.10418,15418.48791,11137.74901,12742.40786,9380.385078,12474.0,9365.323212,12943.0372,10552.55565,7028.408469,13595.11937,9462.56331,11623.64696,6059.370253,11700.72741,17258.98937,14681.50396,12136.14154,11971.1412,11685.79049,12574.13587,12698.22252,11530.73203,9987.562404,13994.44641,11036.59798,17109.88794,12929.38625,13927.51077,15631.91325,16294.63279,12373.86712,15887.5432,9257.053463,11821.44571,8427.195675,12355.48824,10509.07265,19065.73038,15713.36707,8427.602675,14124.27554,14101.88439,14237.88301,11583.40006,9618.480278,10907.66277,12901.23727,17752.85981,10077.94985,9631.873391,9848.574329,12906.72526,15677.96497,7124.603578,15010.02997,10370.73717,10746.38598,16257.40691,12134.47248,10851.16805,14891.44209,12063.08201,8090.208268,12866.99318,11010.83338,12901.98629,13834.37955,13008.84116,14498.61682,11009.93142,13655.60342,17889.03441,11834.47534
['2'],167237.3424,157233.2489,127639.5706,134301.8697,119346.7358,0.0,198442.1021,153901.0529,0.0,166055.0,0.0,166343.7647,168069.3216,204177.8747,113568.8911,178968.1044,153854.2472,0.0,177133.6565,107398.1278,122839.3043,163692.3226,157185.0194,0.0,168894.5208,177947.5102,175992.3346,194964.9741,157868.7786,0.0,172171.4035,186606.2166,0.0,167584.449,159248.1118,184941.6236,137115.2144,222360.6654,160159.8113,236660.7568,168585.3052,180074.3469,142229.2984,139259.2395,225849.2072,167741.3962,144867.6699,160834.037,0.0,195752.3018,179859.0697,0.0,97133.24891,168295.3984,179953.5366,165958.9318,134774.5806,110851.3497,194470.4352,110091.9271,173400.6646,170121.2351,105226.5886,164614.2303,170683.337,123142.8233,158138.0062,210669.9104,161390.7497,199468.7371,155887.3817,154462.7707,181592.1991,161163.7737,197233.3821,175694.1811,121794.0587,172123.2172
['2'],167237.3424,157233.2489,127639.5706,134301.8697,119346.7358,0.0,198442.1021,153901.0529,0.0,166055.0,0.0,166343.7647,168069.3216,204177.8747,113568.8911,178968.1044,153854.2472,0.0,177133.6565,107398.1278,122839.3043,163692.3226,157185.0194,0.0,168894.5208,177947.5102,175992.3346,194964.9741,157868.7786,0.0,172171.4035,186606.2166,0.0,167584.449,159248.1118,184941.6236,137115.2144,222360.6654,160159.8113,236660.7568,168585.3052,180074.3469,142229.2984,139259.2395,225849.2072,167741.3962,144867.6699,160834.037,0.0,195752.3018,179859.0697,0.0,97133.24891,168295.3984,179953.5366,165958.9318,134774.5806,110851.3497,194470.4352,110091.9271,173400.6646,170121.2351,105226.5886,164614.2303,170683.337,123142.8233,158138.0062,210669.9104,161390.7497,199468.7371,155887.3817,154462.7707,181592.1991,161163.7737,197233.3821,175694.1811,121794.0587,172123.2172
['3'],59733.29429,58512.76957,67453.78282,68739.97212,73381.34018,66167.15631,58666.29005,61762.6648,57186.4176,60032.0,55931.21662,58903.6876,59959.99225,56936.56808,77060.38977,59433.06774,64936.4268,73786.02145,60210.04088,92176.16123,74597.12302,65176.88085,64515.23709,59549.11173,64857.87558,63984.00031,61785.7127,60105.66761,65712.85165,62377.97534,74488.28029,67268.80367,69166.99105,73378.95481,73228.0528,66705.53935,84504.10344,58305.78407,69041.58807,60678.19956,64564.05378,59534.70927,89892.71558,78848.03134,55536.07054,70590.41597,74518.90678,66262.13975,56849.06521,57221.84357,55419.40895,58134.98861,86052.52234,55280.98696,53729.89863,55149.87175,62477.42906,83401.34875,55529.74144,77556.50875,58286.49662,59374.00945,85782.44521,62098.18309,60944.82105,75714.07233,62224.54369,58255.10233,60618.77115,55062.32532,62301.41916,66813.94349,62517.73447,68518.04267,61514.66343,61086.63142,90603.57073,61791.91132
['3'],59733.29429,58512.76957,67453.78282,68739.97212,73381.34018,66167.15631,58666.29005,61762.6648,57186.4176,60032.0,55931.21662,58903.6876,59959.99225,56936.56808,77060.38977,59433.06774,64936.4268,73786.02145,60210.04088,92176.16123,74597.12302,65176.88085,64515.23709,59549.11173,64857.87558,63984.00031,61785.7127,60105.66761,65712.85165,62377.97534,74488.28029,67268.80367,69166.99105,73378.95481,73228.0528,66705.53935,84504.10344,58305.78407,69041.58807,60678.19956,64564.05378,59534.70927,89892.71558,78848.03134,55536.07054,70590.41597,74518.90678,66262.13975,56849.06521,57221.84357,55419.40895,58134.98861,86052.52234,55280.98696,53729.89863,55149.87175,62477.42906,83401.34875,55529.74144,77556.50875,58286.49662,59374.00945,85782.44521,62098.18309,60944.82105,75714.07233,62224.54369,58255.10233,60618.77115,55062.32532,62301.41916,66813.94349,62517.73447,68518.04267,61514.66343,61086.63142,90603.57073,61791.91132
['4'],36241.90425,37180.42431,39637.04559,38739.69311,41156.40997,38723.20987,35512.59253,37775.08729,35878.60472,41485.0,39832.62745,41914.39462,30411.85354,28911.13091,33407.97261,29573.79513,30888.93323,27408.913,34658.67767,41825.22634,36953.11436,33431.82833,33129.38295,35627.08689,32637.15294,31866.4642,0.0,30037.52589,31653.99487,31281.87229,40666.99595,38212.67995,41008.97299,37596.42116,39424.78311,37391.63142,38005.05179,31940.12574,32791.59656,30670.21087,31883.17513,28135.79061,42247.79555,38755.75505,30414.98312,36276.80901,36944.53886,35857.84876,38868.76621,39620.858,37964.2002,39960.20491,47865.20653,38915.11464,38734.82301,38508.62258,42245.7041,45370.62016,36838.8541,44531.74297,36079.43273,36325.7798,43043.90126,39435.01679,38268.67706,41336.52791,33360.85767,31544.92547,31645.45754,31881.14041,32237.15514,33988.07647,36592.3974,35945.18512,36424.13633,37661.19297,42481.13638,37424.41808
['4'],36241.90425,37180.42431,39637.04559,38739.69311,41156.40997,38723.20987,35512.59253,37775.08729,35878.60472,41485.0,39832.62745,41914.39462,30411.85354,28911.13091,33407.97261,29573.79513,30888.93323,27408.913,34658.67767,41825.22634,36953.11436,33431.82833,33129.38295,35627.08689,32637.15294,31866.4642,0.0,30037.52589,31653.99487,31281.87229,40666.99595,38212.67995,41008.97299,37596.42116,39424.78311,37391.63142,38005.05179,31940.12574,32791.59656,30670.21087,31883.17513,28135.79061,42247.79555,38755.75505,30414.98312,36276.80901,36944.53886,35857.84876,38868.76621,39620.858,37964.2002,39960.20491,47865.20653,38915.11464,38734.82301,38508.62258,42245.7041,45370.62016,36838.8541,44531.74297,36079.43273,36325.7798,43043.90126,39435.01679,38268.67706,41336.52791,33360.85767,31544.92547,31645.45754,31881.14041,32237.15514,33988.07647,36592.3974,35945.18512,36424.13633,37661.19297,42481.13638,37424.41808
['5'],2322.384548,2298.42623,2114.026431,2266.894628,2254.433573,2253.385923,3572.626638,3231.662689,3354.828502,3472.0,0.0,3289.723215,2211.503105,2388.76449,2282.102034,2602.74242,2164.869533,0.0,2689.677496,3221.474744,2768.442669,2928.825161,3119.199896,2795.580265,3202.16598,2899.475684,3355.297601,3409.695748,2889.302841,3458.165789,3471.157813,3915.033264,3907.966556,3703.258349,3952.257789,3612.376492,3586.011436,4449.334361,3738.805355,4006.802823,3653.2681,3192.196506,4674.539929,4718.715392,0.0,4195.885702,4378.5344,3822.906321,3331.271886,3054.843371,3201.198876,2858.056215,2578.758821,0.0,3205.713106,2106.962282,2346.382017,2109.201654,2193.530203,0.0,2595.22089,2595.8331,2569.134068,2760.508854,2558.13182,2526.766708,0.0,3389.693379,3104.455631,2881.968614,2959.610012,2983.598104,3361.130329,3322.101413,3308.84227,3470.728522,3249.728134,3547.432008
['5'],2322.384548,2298.42623,2114.026431,2266.894628,2254.433573,2253.385923,3572.626638,3231.662689,3354.828502,3472.0,0.0,3289.723215,2211.503105,2388.76449,2282.102034,2602.74242,2164.869533,0.0,2689.677496,3221.474744,2768.442669,2928.825161,3119.199896,2795.580265,3202.16598,2899.475684,3355.297601,3409.695748,2889.302841,3458.165789,3471.157813,3915.033264,3907.966556,3703.258349,3952.257789,3612.376492,3586.011436,4449.334361,3738.805355,4006.802823,3653.2681,3192.196506,4674.539929,4718.715392,0.0,4195.885702,4378.5344,3822.906321,3331.271886,3054.843371,3201.198876,2858.056215,2578.758821,0.0,3205.713106,2106.962282,2346.382017,2109.201654,2193.530203,0.0,2595.22089,2595.8331,2569.134068,2760.508854,2558.13182,2526.766708,0.0,3389.693379,3104.455631,2881.968614,2959.610012,2983.598104,3361.130329,3322.101413,3308.84227,3470.728522,3249.728134,3547.432008
['6'],4487.174352,4203.53888,4316.71784,5077.238842,5458.848589,5061.793008,5255.308143,5169.389661,4686.908857,5569.0,4883.376664,5366.296134,3335.683851,3103.033644,3640.587731,3597.732983,3849.193571,3208.409432,4343.365023,4955.934572,4746.24925,4531.432793,4556.764506,4259.01414,4325.612565,4353.841579,4341.315289,4067.369022,4171.510464,4139.319657,6586.637217,5510.37599,5490.664319,5785.912288,5486.62408,4757.396696,4923.471032,3800.828641,4423.41093,3962.574988,4561.532607,4191.896637,5712.185056,4850.911123,4320.121336,4685.539486,4676.568116,4947.290533,4932.638918,4550.466616,4205.896788,4655.706751,6314.438048,4259.377089,3451.982596,4352.244224,4481.622136,4961.614797,3556.839811,4594.241355,4010.078499,4248.861433,5479.212202,4974.22239,4482.534069,4974.090258,4199.866228,3981.489021,3784.834775,4406.576921,4345.78224,4667.701424,3911.650091,4941.29699,3848.712437,4614.067243,5702.266323,4815.286768
['6'],4487.174352,4203.53888,4316.71784,5077.238842,5458.848589,5061.793008,5255.308143,5169.389661,4686.908857,5569.0,4883.376664,5366.296134,3335.683851,3103.033644,3640.587731,3597.732983,3849.193571,3208.409432,4343.365023,4955.934572,4746.24925,4531.432793,4556.764506,4259.01414,4325.612565,4353.841579,4341.315289,4067.369022,4171.510464,4139.319657,6586.637217,5510.37599,5490.664319,5785.912288,5486.62408,4757.396696,4923.471032,3800.828641,4423.41093,3962.574988,4561.532607,4191.896637,5712.185056,4850.911123,4320.121336,4685.539486,4676.568116,4947.290533,4932.638918,4550.466616,4205.896788,4655.706751,6314.438048,4259.377089,3451.982596,4352.244224,4481.622136,4961.614797,3556.839811,4594.241355,4010.078499,4248.861433,5479.212202,4974.22239,4482.534069,4974.090258,4199.866228,3981.489021,3784.834775,4406.576921,4345.78224,4667.701424,3911.650091,4941.29699,3848.712437,4614.067243,5702.266323,4815.286768
['7'],20042.63066,23913.46563,28420.92573,23190.2855,26942.1354,19006.39139,18506.29145,29814.5237,28274.69164,28947.0,30955.6419,26449.5822,24546.45586,24742.28347,19227.89623,23514.26677,29561.99981,26532.54761,21838.30181,28691.88245,18693.06983,22926.72962,26212.49003,19146.29207,24400.07003,26706.18425,22419.48852,25151.46704,29215.60364,22674.33668,21744.685,23344.66344,27690.89842,17971.85379,23407.79755,24294.59365,21662.55796,22206.44495,16603.57986,16826.89837,22686.40259,24855.62502,21628.45129,27876.49456,26767.3389,27646.51773,31061.86555,27432.62004,23236.42477,26825.82307,16650.08966,24092.46084,30264.36717,26727.93217,24208.08039,27953.43851,25926.05954,22386.39801,23472.30253,29531.83743,23010.8834,27581.86123,25848.61118,21337.70676,23942.44246,28461.99346,25005.55016,27528.41896,17312.93972,21340.43709,32022.4104,34369.54107,18278.44,24119.31728,22713.63265,23149.49913,27931.55711,20764.17783
['7'],20042.63066,23913.46563,28420.92573,23190.2855,26942.1354,19006.39139,18506.29145,29814.5237,28274.69164,28947.0,30955.6419,26449.5822,24546.45586,24742.28347,19227.89623,23514.26677,29561.99981,26532.54761,21838.30181,28691.88245,18693.06983,22926.72962,26212.49003,19146.29207,24400.07003,26706.18425,22419.48852,25151.46704,29215.60364,22674.33668,21744.685,23344.66344,27690.89842,17971.85379,23407.79755,24294.59365,21662.55796,22206.44495,16603.57986,16826.89837,22686.40259,24855.62502,21628.45129,27876.49456,26767.3389,27646.51773,31061.86555,27432.62004,23236.42477,26825.82307,16650.08966,24092.46084,30264.36717,26727.93217,24208.08039,27953.43851,25926.05954,22386.39801,23472.30253,29531.83743,23010.8834,27581.86123,25848.61118,21337.70676,23942.44246,28461.99346,25005.55016,27528.41896,17312.93972,21340.43709,32022.4104,34369.54107,18278.44,24119.31728,22713.63265,23149.49913,27931.55711,20764.17783
['8'],16246.91852,16165.18811,17246.60508,18692.57105,17938.57993,17871.68145,21596.01521,21132.87154,20683.91328,22612.0,21395.81131,22483.23453,11623.90604,9316.554174,10826.83596,10793.19895,10113.18863,9749.71902,15510.05336,19670.11135,17182.34672,16424.16906,14618.54897,15249.8241,13836.01121,11993.60133,12638.52409,12372.19498,12435.91091,12477.50039,23103.72781,21128.29246,20282.40381,21375.50912,22074.6412,19328.59003,18820.90293,14375.61647,15494.56935,15546.68184,16897.9996,15854.65746,29252.6887,24567.12009,17823.50775,22302.75513,23216.36081,22335.80407,18717.24918,18326.86723,18340.83975,17911.8732,21990.43012,16864.76948,13617.43988,12586.01693,13650.59441,15401.295,12088.44882,14375.56569,13914.08176,13739.30893,17266.46359,16135.0762,13877.05265,15132.143,15226.36612,13606.63076,14060.36616,14904.44844,14951.72995,16764.53069,12882.16242,14216.39366,13206.05486,14734.48091,15944.94926,13471.39342
['8'],16246.91852,16165.18811,17246.60508,18692.57105,17938.57993,17871.68145,21596.01521,21132.87154,20683.91328,22612.0,21395.81131,22483.23453,11623.90604,9316.554174,10826.83596,10793.19895,10113.18863,9749.71902,15510.05336,19670.11135,17182.34672,16424.16906,14618.54897,15249.8241,13836.01121,11993.60133,12638.52409,12372.19498,12435.91091,12477.50039,23103.72781,21128.29246,20282.40381,21375.50912,22074.6412,19328.59003,18820.90293,14375.61647,15494.56935,15546.68184,16897.9996,15854.65746,29252.6887,24567.12009,17823.50775,22302.75513,23216.36081,22335.80407,18717.24918,18326.86723,18340.83975,17911.8732,21990.43012,16864.76948,13617.43988,12586.01693,13650.59441,15401.295,12088.44882,14375.56569,13914.08176,13739.30893,17266.46359,16135.0762,13877.05265,15132.143,15226.36612,13606.63076,14060.36616,14904.44844,14951.72995,16764.53069,12882.16242,14216.39366,13206.05486,14734.48091,15944.94926,13471.39342
['9'],2495.860931,2567.600211,1903.763766,2283.186479,2125.642557,2083.179433,2352.549,1821.251581,2133.298777,2371.0,2295.8078,1920.907783,1938.751056,1997.469215,1520.118556,2356.682329,1802.64931,2377.649556,2259.92502,1545.651151,1520.454014,2035.960015,1961.907834,1845.251601,1885.376754,2231.878928,1704.841135,2081.876087,1752.774352,1893.417219,1910.124793,2165.266695,1908.648571,2014.032722,1882.830431,1820.674838,1720.952018,1866.28244,1621.833134,2246.056833,1594.218198,1872.299023,1703.153498,1814.890535,1940.675031,1638.677417,1516.945047,1481.126009,2358.669033,2461.637964,2150.008172,2120.811358,1917.022704,2087.640265,2237.474085,1978.292829,2140.654014,1911.735244,2061.350345,1747.026647,2171.327295,1987.718353,1631.250899,1753.436464,1945.294433,1631.549033,2324.905607,0.0,1579.924666,2418.977195,2248.204442,1895.795213,1707.203218,1692.143088,2092.302255,1854.674088,1630.040625,1826.688815
['9'],2495.860931,2567.600211,1903.763766,2283.186479,2125.642557,2083.179433,2352.549,1821.251581,2133.298777,2371.0,2295.8078,1920.907783,1938.751056,1997.469215,1520.118556,2356.682329,1802.64931,2377.649556,2259.92502,1545.651151,1520.454014,2035.960015,1961.907834,1845.251601,1885.376754,2231.878928,1704.841135,2081.876087,1752.774352,1893.417219,1910.124793,2165.266695,1908.648571,2014.032722,1882.830431,1820.674838,1720.952018,1866.28244,1621.833134,2246.056833,1594.218198,1872.299023,1703.153498,1814.890535,1940.675031,1638.677417,1516.945047,1481.126009,2358.669033,2461.637964,2150.008172,2120.811358,1917.022704,2087.640265,2237.474085,1978.292829,2140.654014,1911.735244,2061.350345,1747.026647,2171.327295,1987.718353,1631.250899,1753.436464,1945.294433,1631.549033,2324.905607,0.0,1579.924666,2418.977195,2248.204442,1895.795213,1707.203218,1692.143088,2092.302255,1854.674088,1630.040625,1826.688815
['10'],143971.9603,141578.1393,131211.5027,138329.4479,132646.476,140643.5961,147959.5202,119381.9823,143902.9879,126685.0,149208.884,124377.4817,124693.1454,138984.3552,112044.9242,128985.6553,122650.1823,151884.8453,128561.3127,117134.0882,114839.2835,125874.6497,112450.0174,125545.7638,107839.4318,107726.0505,101662.6799,113464.5146,111167.0541,108915.5508,110826.7578,116893.2945,114491.3691,109138.6147,107486.574,115266.9124,104040.7795,118798.4464,100908.5882,128919.359,104707.2051,107550.8687,114817.8876,98923.85751,116077.3413,98210.55891,92203.01673,94394.115,147821.7087,159519.6226,150413.2563,142323.3122,142588.484,148111.0877,172080.28,159413.9457,155522.7911,149682.7937,164832.6523,148410.6448,146398.8681,144178.7877,131599.8174,144292.8245,134742.9778,132208.8291,112936.1913,132338.1118,109535.021,141345.9773,121323.6556,130260.7283,102485.4692,103873.6684,112184.2879,110306.7414,107090.3331,100796.1998
['10'],143971.9603,141578.1393,131211.5027,138329.4479,132646.476,140643.5961,147959.5202,119381.9823,143902.9879,126685.0,149208.884,124377.4817,124693.1454,138984.3552,112044.9242,128985.6553,122650.1823,151884.8453,128561.3127,117134.0882,114839.2835,125874.6497,112450.0174,125545.7638,107839.4318,107726.0505,101662.6799,113464.5146,111167.0541,108915.5508,110826.7578,116893.2945,114491.3691,109138.6147,107486.574,115266.9124,104040.7795,118798.4464,100908.5882,128919.359,104707.2051,107550.8687,114817.8876,98923.85751,116077.3413,98210.55891,92203.01673,94394.115,147821.7087,159519.6226,150413.2563,142323.3122,142588.484,148111.0877,172080.28,159413.9457,155522.7911,149682.7937,164832.6523,148410.6448,146398.8681,144178.7877,131599.8174,144292.8245,134742.9778,132208.8291,112936.1913,132338.1118,109535.021,141345.9773,121323.6556,130260.7283,102485.4692,103873.6684,112184.2879,110306.7414,107090.3331,100796.1998
['11'],6864.53381,7616.763287,7590.988855,7458.176423,6983.072546,0.0,8403.792205,8086.568792,11290.39348,6016.0,7755.464295,7628.629449,8415.997929,11217.13123,10282.92856,6352.172644,6151.706789,7688.842888,8452.944698,9427.533844,9134.887716,9406.36275,9561.965088,10769.18705,9860.474663,9613.624683,10748.06571,10404.84476,10787.19308,12150.02257,4922.413547,5114.873198,5592.810875,8233.402364,9210.694062,11372.5539,8772.686895,11974.19491,11376.83102,11171.71217,9867.271472,11971.95903,8508.918347,8508.699764,10940.64141,5367.843938,5660.312218,6630.923437,5220.777869,6139.292188,5727.685272,8748.34685,9036.274948,10989.37472,14412.02734,13281.90421,14141.09328,11725.38183,13449.57364,12697.16018,10041.54321,9712.817818,9355.8725,6708.048052,7171.822375,7791.358066,11553.90376,14261.45789,11806.0834,7550.635391,7314.551981,7820.024254,8270.819472,8675.970392,9726.212992,5171.600368,5459.543266,6568.628614
['11'],6864.53381,7616.763287,7590.988855,7458.176423,6983.072546,0.0,8403.792205,8086.568792,11290.39348,6016.0,7755.464295,7628.629449,8415.997929,11217.13123,10282.92856,6352.172644,6151.706789,7688.842888,8452.944698,9427.533844,9134.887716,9406.36275,9561.965088,10769.18705,9860.474663,9613.624683,10748.06571,10404.84476,10787.19308,12150.02257,4922.413547,5114.873198,5592.810875,8233.402364,9210.694062,11372.5539,8772.686895,11974.19491,11376.83102,11171.71217,9867.271472,11971.95903,8508.918347,8508.699764,10940.64141,5367.843938,5660.312218,6630.923437,5220.777869,6139.292188,5727.685272,8748.34685,9036.274948,10989.37472,14412.02734,13281.90421,14141.09328,11725.38183,13449.57364,12697.16018,10041.54321,9712.817818,9355.8725,6708.048052,7171.822375,7791.358066,11553.90376,14261.45789,11806.0834,7550.635391,7314.551981,7820.024254,8270.819472,8675.970392,9726.212992,5171.600368,5459.543266,6568.628614
['12'],5363.107924,5481.808013,6364.878858,5813.863225,5454.122313,5504.576558,5008.514856,5363.162358,4626.708019,5074.0,4557.473348,5238.650722,3900.845755,3599.916533,4716.857324,3835.431809,3362.611071,3204.711688,5018.362911,5128.325103,5063.720048,4921.563678,4894.259365,4648.058701,4484.634027,4344.585472,0.0,4045.824552,4756.539371,5018.151046,5601.934953,5332.621926,5513.618601,5879.694618,5896.912503,5803.908076,5374.848759,4429.83043,5311.377201,3800.007809,4826.641226,4402.102533,5934.782195,5677.694589,4595.069392,5815.068706,5494.996641,5095.638607,5873.107315,4467.132769,4749.068683,4921.903631,5144.104071,4919.648725,3863.48418,0.0,4321.37085,4789.102933,3924.977102,4400.752248,4399.02342,4560.860604,5272.579435,4599.309988,4542.889266,5129.419418,4879.909661,3965.147524,4358.03915,3722.287842,4808.857396,4436.097919,5086.092249,5511.72261,4935.781326,5586.64024,5656.252473,5272.83215
['12'],5363.107924,5481.808013,6364.878858,5813.863225,5454.122313,5504.576558,5008.514856,5363.162358,4626.708019,5074.0,4557.473348,5238.650722,3900.845755,3599.916533,4716.857324,3835.431809,3362.611071,3204.711688,5018.362911,5128.325103,5063.720048,4921.563678,4894.259365,4648.058701,4484.634027,4344.585472,0.0,4045.824552,4756.539371,5018.151046,5601.934953,5332.621926,5513.618601,5879.694618,5896.912503,5803.908076,5374.848759,4429.83043,5311.377201,3800.007809,4826.641226,4402.102533,5934.782195,5677.694589,4595.069392,5815.068706,5494.996641,5095.638607,5873.107315,4467.132769,4749.068683,4921.903631,5144.104071,4919.648725,3863.48418,0.0,4321.37085,4789.102933,3924.977102,4400.752248,4399.02342,4560.860604,5272.579435,4599.309988,4542.889266,5129.419418,4879.909661,3965.147524,4358.03915,3722.287842,4808.857396,4436.097919,5086.092249,5511.72261,4935.781326,5586.64024,5656.252473,5272.83215
