,70,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Label,A,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C
['1+202'],3436273.93,4414949.16,4279342.02,4159902.04,4170773.93,4188294.58,4153222.02,3867551.49,4168976.0,4035603.0,4121516.31,3906826.51,4390567.59,4347929.38,2257326.86,4345917.1,4650902.05,4352944.01,4631668.18,4699206.14,4704144.99,4188860.02,4286528.11,3986917.49,4452600.12,4640394.95,1880073.17,0.0,31508.927,3183638.85,2841808.91,2529433.53,3147457.35,2339254.76,2827355.23,2556151.12,2540666.16,3458330.58,2897444.53,2666958.99,3389969.53,3414502.97,3761915.44,3044909.17,3220670.56,3032944.73,4358994.2,4359705.84,2766768.23,3289753.27,0.0,4286718.06,4554726.24,5659596.28,6166939.56,4340139.88,0.0,3021962.38,2879973.73,3094212.76,3242708.79,3193233.44,3223625.68,3026185.91,2551608.04,2704669.26,2873831.2,3007514.42,3563688.86,3692304.39
['1+202'],3436273.93,4414949.16,4279342.02,4159902.04,4170773.93,4188294.58,4153222.02,3867551.49,4168976.0,4035603.0,4121516.31,3906826.51,4390567.59,4347929.38,2257326.86,4345917.1,4650902.05,4352944.01,4631668.18,4699206.14,4704144.99,4188860.02,4286528.11,3986917.49,4452600.12,4640394.95,1880073.17,0.0,31508.927,3183638.85,2841808.91,2529433.53,3147457.35,2339254.76,2827355.23,2556151.12,2540666.16,3458330.58,2897444.53,2666958.99,3389969.53,3414502.97,3761915.44,3044909.17,3220670.56,3032944.73,4358994.2,4359705.84,2766768.23,3289753.27,0.0,4286718.06,4554726.24,5659596.28,6166939.56,4340139.88,0.0,3021962.38,2879973.73,3094212.76,3242708.79,3193233.44,3223625.68,3026185.91,2551608.04,2704669.26,2873831.2,3007514.42,3563688.86,3692304.39
['1+245'],179330.246,230514.845,173605.78,252687.758,306271.064,259781.624,241552.114,178026.195,0.0,261069.211,0.0,48696.533,218110.138,250155.569,50370.829,280498.56,224166.425,233624.52,241170.942,238492.563,242249.228,240624.161,281866.805,182821.592,193536.653,0.0,532388.928,321493.198,197087.944,203781.108,138951.473,119177.293,0.0,124030.801,138336.42,137472.58,0.0,166024.937,0.0,0.0,135835.419,160724.412,183736.585,0.0,0.0,102664.853,163038.78,98917.76,117443.39,135244.006,110159.801,0.0,159422.807,124066.209,156043.09,0.0,0.0,137922.171,186082.713,151625.82,162248.488,90749.635,127621.75,149414.375,105714.701,129010.756,123187.093,0.0,206224.287,211738.617
['1+245'],179330.246,230514.845,173605.78,252687.758,306271.064,259781.624,241552.114,178026.195,0.0,261069.211,0.0,48696.533,218110.138,250155.569,50370.829,280498.56,224166.425,233624.52,241170.942,238492.563,242249.228,240624.161,281866.805,182821.592,193536.653,0.0,532388.928,321493.198,197087.944,203781.108,138951.473,119177.293,0.0,124030.801,138336.42,137472.58,0.0,166024.937,0.0,0.0,135835.419,160724.412,183736.585,0.0,0.0,102664.853,163038.78,98917.76,117443.39,135244.006,110159.801,0.0,159422.807,124066.209,156043.09,0.0,0.0,137922.171,186082.713,151625.82,162248.488,90749.635,127621.75,149414.375,105714.701,129010.756,123187.093,0.0,206224.287,211738.617
['1+389'],60708.706,114979.434,104521.785,100918.195,127171.664,111243.968,110717.198,108886.667,110550.828,106460.253,117267.078,108824.166,121531.717,125121.187,0.0,114841.182,93678.59,113821.256,131056.398,120586.798,116682.954,121618.464,104369.606,118673.564,121909.328,100839.008,13787.249,131456.148,115177.057,62206.691,63949.195,46367.412,65491.653,59208.401,75422.973,71158.856,72920.365,72812.109,69238.211,62194.259,78122.275,77254.214,59903.016,81362.637,0.0,98329.882,66750.597,103660.939,74037.973,66187.537,93946.517,179295.899,80482.71,92843.76,156183.825,118670.468,45641.92,0.0,58793.633,72798.63,94767.902,91057.267,60291.094,84005.561,68043.647,76287.679,78640.794,76031.863,57556.753,18750.534
['1+389'],60708.706,114979.434,104521.785,100918.195,127171.664,111243.968,110717.198,108886.667,110550.828,106460.253,117267.078,108824.166,121531.717,125121.187,0.0,114841.182,93678.59,113821.256,131056.398,120586.798,116682.954,121618.464,104369.606,118673.564,121909.328,100839.008,13787.249,131456.148,115177.057,62206.691,63949.195,46367.412,65491.653,59208.401,75422.973,71158.856,72920.365,72812.109,69238.211,62194.259,78122.275,77254.214,59903.016,81362.637,0.0,98329.882,66750.597,103660.939,74037.973,66187.537,93946.517,179295.899,80482.71,92843.76,156183.825,118670.468,45641.92,0.0,58793.633,72798.63,94767.902,91057.267,60291.094,84005.561,68043.647,76287.679,78640.794,76031.863,57556.753,18750.534
['1+539'],44713.019,23498.252,27774.809,0.0,20829.367,0.0,23808.707,22152.699,31788.11,52419.102,41157.348,17870.623,43827.774,0.0,0.0,25625.585,53328.19,0.0,65130.467,63512.653,0.0,0.0,61450.428,61726.296,70696.846,72340.896,0.0,82991.457,56210.65,44045.514,44993.372,0.0,25041.979,0.0,0.0,0.0,0.0,39345.9,43090.997,0.0,45219.522,29474.983,0.0,29682.759,0.0,0.0,0.0,38162.368,49879.298,47126.523,0.0,0.0,0.0,0.0,16056.522,44511.897,0.0,35982.399,35916.453,43616.409,43155.629,40730.876,0.0,0.0,0.0,35849.197,46417.759,34590.884,34263.536,0.0
['1+539'],44713.019,23498.252,27774.809,0.0,20829.367,0.0,23808.707,22152.699,31788.11,52419.102,41157.348,17870.623,43827.774,0.0,0.0,25625.585,53328.19,0.0,65130.467,63512.653,0.0,0.0,61450.428,61726.296,70696.846,72340.896,0.0,82991.457,56210.65,44045.514,44993.372,0.0,25041.979,0.0,0.0,0.0,0.0,39345.9,43090.997,0.0,45219.522,29474.983,0.0,29682.759,0.0,0.0,0.0,38162.368,49879.298,47126.523,0.0,0.0,0.0,0.0,16056.522,44511.897,0.0,35982.399,35916.453,43616.409,43155.629,40730.876,0.0,0.0,0.0,35849.197,46417.759,34590.884,34263.536,0.0
