,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
756.5519@482.34,66415.23013,530533.84591,192683.22299,294795.40735,77308.42252,263345.08643,795437.44112,894334.13695,762498.59482,1682404.62636,808230.19911,289637.77376,513976.38572,532340.91542,906477.12417,1009643.29165,193412.14013,149564.31063,39981.99659,356845.45044,502842.20696,1009383.10188,933357.54264,203254.49804,94549.10769,274108.61849,226544.25452,861219.29008,903214.40956
242.1476@229.41,53916.63019,52942.28815,54932.27517,46252.44493,31167.89956,46702.23331,61715.2084,50384.5168,43887.78069,40866.099,38671.26913,61031.82846,58100.82307,43896.43575,39754.06398,22184.96301,57723.19812,55322.51766,47626.28135,49994.79668,60862.72465,39186.99852,64206.14431,56432.60876,58439.21171,29802.95962,29282.01736,57780.58789,34199.20572
197.154@229.56,30099.77352,30143.36407,34404.91737,25503.04313,16407.8797,30850.77876,37345.80186,32884.56631,28191.81766,25134.14022,17765.78822,37114.72352,37704.71076,30831.14521,24798.60869,25255.83392,35154.14665,33204.93616,32140.43431,36157.535,34146.64077,19470.40203,40819.00498,34600.09742,36138.21454,17739.59604,15564.18885,38366.43524,19599.57639
672.4674@483.23,46352.86806,71688.47797,130500.62863,257603.60278,216205.11623,266981.32773,387519.67464,409783.48491,421016.55828,530060.27444,398142.68068,144176.46063,325347.39109,280760.22391,409090.83849,438320.57563,67940.26303,152173.03974,46122.04748,213121.41355,355537.84633,490061.24882,178637.15872,7255.39231,86801.62492,238857.25285,292715.31634,345039.46226,440969.10774
816.5753@499.74,12478372.57791,33859224.96803,28762038.76676,52801850.97999,43285246.19067,35214755.84776,49124760.9566,75042745.28467,73649937.63754,84583615.50779,68563946.22399,66038419.07494,65458445.3161,32527708.75147,82549080.54931,74213323.73971,47623653.38167,26929077.65762,17113929.62558,64205322.3281,73688237.20121,91414492.90272,83779187.04192,26688369.06852,20162245.72042,47287874.19487,51147030.10065,63431943.21548,84731693.92615
244.082@496.46,294409.95691,319382.89112,344555.34704,266201.16781,101976.33668,252713.0346,330036.00441,287620.70343,252941.01663,252444.16868,211487.44307,324580.10605,372585.51383,211579.29638,185199.62489,28043.55917,383099.57081,326232.67959,261194.87597,287576.83495,459356.2251,191296.5317,419945.75006,328809.88284,303857.2369,83959.80925,147716.78986,424935.87969,178739.43305
900.591@483.11,164266.87102,153991.6296,456452.18059,178981.10419,124856.65045,273281.70058,165773.8537,331100.1589,238879.47553,228296.81839,652747.25643,159403.49429,270743.1089,190692.35265,247575.6611,260002.64371,97043.55039,65468.84911,183732.78518,155507.68067,223345.58971,380210.89498,199403.37716,117405.75796,145972.09912,168580.39166,169977.17455,176744.61748,240655.92362
753.4653@482.91,72830.56634,78463.67546,166070.84664,347433.33666,202883.50342,309078.1284,419769.21941,552101.42758,575451.56749,809254.37597,633762.45687,299631.09825,363821.94138,467268.61595,481397.54493,599990.58326,226941.69448,156552.95376,71120.15228,352151.87255,415438.44281,716841.6501,475656.42743,168078.43498,137938.4656,275092.13936,266731.88659,447616.42476,599872.67651
361.1901@438.65,9531.99423,17535.09532,14470.99811,13844.01827,15228.46841,8564.32763,13700.93824,11347.19882,9050.55996,5971.84792,5711.32943,12566.21619,13911.44416,9300.96658,7445.95866,6879.69862,21024.68193,17741.27506,11870.8342,11348.34219,23405.91418,4194.19193,15084.40256,15459.08775,7089.8982,7560.12398,14418.68481,14028.18636,4305.68147
