,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
76.9692@482.31,111719.98392,104994.47851,112988.88577,110666.49814,104390.69067,125491.1151,98763.54438,112161.00742,115072.67592,111627.82582,130605.5471,98940.22335,105715.72133,121257.91097,90706.84009,121036.31468,92380.41423,96656.84498,112436.84875,93294.30364,100148.94021,111218.32178,102989.96891,108998.97911,101879.06013,116378.76972,109599.99914,111090.38773,112342.96266
89.0243@30.62,54447.05397,36421.85605,74730.25261,56493.52358,143488.08174,41178.81743,79077.75599,52658.98201,44086.02261,30167.57342,64657.26478,46040.2883,68936.40216,49193.20623,17922.06621,76474.06465,89349.7339,76036.66209,94966.76353,46087.15557,69351.11249,20214.31261,74980.89849,65235.97445,43838.70183,34070.12614,78314.65509,48941.12787,34044.48123
94.9797@482.45,559862.97798,544838.66408,593122.05043,536199.37049,485807.69688,649305.37534,531583.30211,590004.84308,569810.99418,585866.36043,638670.89342,517486.73857,581575.32254,575074.01259,462965.35783,614785.25636,508794.71927,532125.99445,557000.07064,531176.66617,496389.85191,432954.0617,530405.99775,588584.25597,535324.9854,538267.62255,517834.84024,570442.29984,559665.91013
94.9799@629.66,97690.49254,99663.93177,101740.96468,97812.4503,96078.04064,86344.01979,106241.36171,101729.6563,100981.62412,85154.25086,100534.00809,99639.94642,102112.0417,100222.80343,94951.03627,140555.18891,100212.50402,95638.28824,106673.57692,97227.69437,139058.43927,88868.71289,131514.74407,96649.00622,96100.37671,101487.2842,97501.19054,97301.7478,88563.15228
96.9592@638.38,105283.23411,136664.90007,86465.47247,120201.81761,119751.65788,80481.09275,88230.38872,80936.76525,100006.2453,75176.22005,129192.84816,92213.82702,78336.32938,114985.3312,75760.0031,107882.7177,95598.46666,72568.19552,91412.50077,84819.56433,91027.14558,82659.97899,79084.48695,82781.2029,73698.5457,153295.41354,115029.1217,75777.83022,81970.44913
96.9601@27.71,112491.89951,244990.32712,130600.59721,162779.91134,155795.23285,127552.55346,114142.22303,141319.72182,94151.94231,33672.31573,95718.1594,97778.00469,99006.09798,210105.2485,113113.8649,134823.29373,115712.78196,78823.73387,109737.5278,38221.0498,235573.6274,20916.70406,128136.69309,118338.38399,153807.51022,123393.39287,81030.06663,244680.39011,33678.23615
97.9303@635.47,371436.44837,363460.47103,445409.93723,309016.05038,264493.47689,529638.49058,436563.30967,515836.66736,360278.82089,546200.50154,330648.0297,392568.01311,527559.39419,313863.51943,558401.45547,386528.80133,375497.90549,524495.14947,387990.64536,490833.58329,531543.60564,533232.03757,490630.0854,575475.63405,534104.7537,257797.2432,277679.93713,541251.12247,534152.83749
98.9387@635.25,41379.49689,38204.4083,50098.51869,41476.04454,22430.08985,66442.10015,52267.80572,10319.73529,47346.31173,68594.82493,43819.35602,42560.96701,8745.92816,42794.97089,69801.74082,42213.53744,43933.00351,62172.16939,47439.12459,16460.51953,12135.56208,63576.10529,14256.4598,10156.58953,76609.45314,26531.60762,22590.85896,32363.08146,13642.20843
99.9248@658.25,297270.09649,279287.11656,470824.70776,241205.87436,211764.95179,649478.2564,481573.52151,558275.32748,311113.05529,646457.34889,258930.72872,398166.49866,573151.15435,243014.3433,701803.37514,371378.49111,338425.94432,602582.75015,387736.78574,520850.05968,560686.00528,624305.1839,513974.85937,618221.25233,672941.88584,209004.09783,206940.38163,590724.60838,563576.13197
99.9248@532.39,1652200.27115,1456396.62979,1806248.35192,1617897.2229,1672119.16208,1833018.27802,1644061.69738,1083388.48901,1351012.54679,2689393.81779,1386303.62452,1495983.00954,2690706.43874,1590673.01831,3168699.91503,1521983.61433,650309.69319,2964656.41959,1305724.77972,2270653.42113,2587600.43919,2729674.49458,2041884.05056,2576231.88627,3181847.39922,1229810.29645,1077833.99845,2350271.75814,2360454.39845
99.9248@570.73,2237108.18079,1485233.81514,7322817.98965,3328358.78568,1761692.68414,3706745.97857,4956965.47879,3553972.7445,1629300.8927,5564851.85181,2010102.81919,4059578.28337,16684218.95536,2056981.49157,3569526.42729,4267384.30158,3922926.05508,4545412.85822,4286353.69787,5330087.98391,5356908.03348,15806110.5383,2811813.65287,4051172.72437,3748845.52533,3208145.66546,2107514.03291,3323969.8727,15992368.54259
