,"CEVA SGLT2i, Dog 15, 2/2/2022, DOS2, Feces_183      ","CEVA SGLT2i, Dog 15, 2/22/2022 , Feces_201          ","CEVA SGLT2i, Dog 16, 2/2/2022, DOS2, Feces_184      ","CEVA SGLT2i, Dog 16, 2/22/2022 , Feces_202          ","CEVA SGLT2i, Dog 25, 2/2/2022, DOS2, Feces_193      ","CEVA SGLT2i, Dog 25, 2/22/2022 , Feces_211          ","CEVA SGLT2i, Dog 26, 2/2/2022, DOS2, Feces_194      ","CEVA SGLT2i, Dog 26, 2/22/2022 , Feces_212          ","CEVA SGLT2i, Dog 27, 2/2/2022, DOS2, Feces_195      ","CEVA SGLT2i, Dog 28, 2/2/2022, DOS2, Feces_196      ","CEVA SGLT2i, Dog 28, 2/22/2022 , Feces_214          ","CEVA SGLT2i, Dog 13, 2/2/2022, DOS2, Feces_181      ","CEVA SGLT2i, Dog 13, 2/22/2022 , Feces_199          ","CEVA SGLT2i, Dog 14, 2/2/2022, DOS2, Feces_182      ","CEVA SGLT2i, Dog 14, 2/22/2022 , Feces_200          ","CEVA SGLT2i, Dog 19, 2/2/2022, DOS2, Feces_187      ","CEVA SGLT2i, Dog 19, 2/22/2022 , Feces_205          ","CEVA SGLT2i, Dog 20, 2/2/2022, DOS2, Feces_188      ","CEVA SGLT2i, Dog 20, 2/22/2022 , Feces_206          ","CEVA SGLT2i, Dog 21, 2/22/2022 , Feces_207          ","CEVA SGLT2i, Dog 22, 2/2/2022, DOS2, Feces_190      ","CEVA SGLT2i, Dog 22, 2/22/2022 , Feces_208          ","CEVA SGLT2i, Dog 11, 11/18/2021, baseline, Feces_143","CEVA SGLT2i, Dog 12, 11/18/2021, baseline, Feces_144","CEVA SGLT2i, Dog 13, 11/18/2021, baseline, Feces_145","CEVA SGLT2i, Dog 14, 11/18/2021, baseline, Feces_146","CEVA SGLT2i, Dog 16, 11/18/2021, baseline, Feces_148","CEVA SGLT2i, Dog 17, 11/18/2021, baseline, Feces_149","CEVA SGLT2i, Dog 18, 11/18/2021, baseline, Feces_150","CEVA SGLT2i, Dog 19, 11/18/2021, baseline, Feces_151","CEVA SGLT2i, Dog 20, 11/18/2021, baseline, Feces_152","CEVA SGLT2i, Dog 21, 11/18/2021, baseline, Feces_153","CEVA SGLT2i, Dog 22, 11/18/2021, baseline, Feces_154","CEVA SGLT2i, Dog 23, 11/18/2021, baseline, Feces_155","CEVA SGLT2i, Dog 24, 11/18/2021, baseline, Feces_156","CEVA SGLT2i, Dog 25, 11/18/2021, baseline, Feces_157","CEVA SGLT2i, Dog 26, 11/18/2021, baseline, Feces_158","CEVA SGLT2i, Dog 27, 11/18/2021, baseline, Feces_159","CEVA SGLT2i, Dog 28, 11/18/2021, baseline, Feces_160","CEVA SGLT2i, Dog 11, 1/18/2022, BAS2, Feces_161     ","CEVA SGLT2i, Dog 12, 1/18/2022, BAS2, Feces_162     ","CEVA SGLT2i, Dog 13, 1/18/2022, BAS2, Feces_163     ","CEVA SGLT2i, Dog 15, 1/18/2022, BAS2, Feces_165     ","CEVA SGLT2i, Dog 16, 1/18/2022, BAS2, Feces_166     ","CEVA SGLT2i, Dog 17, 1/18/2022, BAS2, Feces_167     ","CEVA SGLT2i, Dog 18, 1/18/2022, BAS2, Feces_168     ","CEVA SGLT2i, Dog 19, 1/18/2022, BAS2, Feces_169     ","CEVA SGLT2i, Dog 20, 1/18/2022, BAS2, Feces_170     ","CEVA SGLT2i, Dog 21, 1/18/2022, BAS2, Feces_171     ","CEVA SGLT2i, Dog 22, 1/18/2022, BAS2, Feces_172     ","CEVA SGLT2i, Dog 23, 1/18/2022, BAS2, Feces_173     ","CEVA SGLT2i, Dog 24, 1/18/2022, BAS2, Feces_174     ","CEVA SGLT2i, Dog 25, 1/18/2022, BAS2, Feces_175     ","CEVA SGLT2i, Dog 26, 1/18/2022, BAS2, Feces_176     ","CEVA SGLT2i, Dog 27, 1/18/2022, BAS2, Feces_177     ","CEVA SGLT2i, Dog 28, 1/18/2022, BAS2, Feces_178     "
Label,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Highdose1mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-Lowdose0.3mg/kg,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,feces-NoTreatment,"feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet","feces-NoTreatment,justWesternizeddiet"
['xylulose '],0.00010987135796459097,6.411111362828875e-05,0.0009699847197952575,0.00011813674935501312,0.0007183136800330284,4.760505034251107e-05,0.0005351163718152151,9.931750434257279e-05,0.0006679065466793,0.0005620105714873233,9.652921371216177e-05,0.000462898083005702,4.9202536146368635e-05,0.00020422900747376051,9.726988037605453e-05,0.00015538423908654058,6.255376522702183e-05,0.0007641534041579394,6.384396949192766e-05,4.056915250849858e-05,0.0005309958333956586,8.696723435809068e-05,7.495771349142329e-05,0.00010567714873152156,3.866216460365564e-05,5.157687824714968e-05,1.6235363554953824e-05,7.340281423855886e-06,2.4188418412468097e-05,0.00021159381074208983,0.00010124687546565933,1.4525251942625895e-05,0.0002968212626006248,0.00011961152080182154,0.0006220623419080638,0.00022426982913924728,0.00019053497886704755,3.548216142126899e-05,0.0001926943948240166,0.00028528711985967715,4.407913520500063e-05,8.821848682920553e-05,6.391656814573955e-05,0.0009349555999000092,4.966235808875804e-05,0.00033076327902932696,0.002523756128520282,0.00012402427621416792,0.00019240191293514675,5.141381244368572e-05,0.00019243125033139834,0.0003537220613556493,5.3396664358256866e-05,0.00034675765318434857,6.701223692293006e-05,6.620945270181916e-05
['xylulose '],0.00010987135796459097,6.411111362828875e-05,0.0009699847197952575,0.00011813674935501312,0.0007183136800330284,4.760505034251107e-05,0.0005351163718152151,9.931750434257279e-05,0.0006679065466793,0.0005620105714873233,9.652921371216177e-05,0.000462898083005702,4.9202536146368635e-05,0.00020422900747376051,9.726988037605453e-05,0.00015538423908654058,6.255376522702183e-05,0.0007641534041579394,6.384396949192766e-05,4.056915250849858e-05,0.0005309958333956586,8.696723435809068e-05,7.495771349142329e-05,0.00010567714873152156,3.866216460365564e-05,5.157687824714968e-05,1.6235363554953824e-05,7.340281423855886e-06,2.4188418412468097e-05,0.00021159381074208983,0.00010124687546565933,1.4525251942625895e-05,0.0002968212626006248,0.00011961152080182154,0.0006220623419080638,0.00022426982913924728,0.00019053497886704755,3.548216142126899e-05,0.0001926943948240166,0.00028528711985967715,4.407913520500063e-05,8.821848682920553e-05,6.391656814573955e-05,0.0009349555999000092,4.966235808875804e-05,0.00033076327902932696,0.002523756128520282,0.00012402427621416792,0.00019240191293514675,5.141381244368572e-05,0.00019243125033139834,0.0003537220613556493,5.3396664358256866e-05,0.00034675765318434857,6.701223692293006e-05,6.620945270181916e-05
['xylose'],0.0041452832457070385,0.0025959844629620888,0.06389699929065125,0.0033810081350130563,0.049971271566906,0.0013922908320512183,0.032651939504471775,0.008881413680777687,0.04292872362632093,0.02991472889775839,0.005161179967892453,0.034713667436039264,0.0022493946797460234,0.027358989438702217,0.002257243181273724,0.022693279324337626,0.0028548794183850855,0.04149852881712652,0.0029633950179968785,0.0012788064242018717,0.038237088425798364,0.008603804976472094,0.007912074957917771,0.0028433390582143264,0.0015072911483066573,0.0012845960494421666,0.0005209207557739195,0.0015274823987643119,0.0014388329515041568,0.052166091583293765,0.007847137706081853,0.0006713797589528699,0.01260222947438245,0.005667434857843171,0.020052127686332976,0.01695802212238778,0.0004948208544209673,0.0015157352050234906,0.01227257139325681,0.015362260392567828,0.0016945779147242196,0.004106345829490513,0.002409398952821798,0.06010679291035746,0.0009667666793256202,0.025000453683838877,0.12293211629920471,0.0076209101602030364,0.012396532619276186,0.003950542753764908,0.010899131766702187,0.002569223042615701,0.003234004979862692,0.00981966695663855,0.006903477227078555,0.007098669194723575
['xylose'],0.0041452832457070385,0.0025959844629620888,0.06389699929065125,0.0033810081350130563,0.049971271566906,0.0013922908320512183,0.032651939504471775,0.008881413680777687,0.04292872362632093,0.02991472889775839,0.005161179967892453,0.034713667436039264,0.0022493946797460234,0.027358989438702217,0.002257243181273724,0.022693279324337626,0.0028548794183850855,0.04149852881712652,0.0029633950179968785,0.0012788064242018717,0.038237088425798364,0.008603804976472094,0.007912074957917771,0.0028433390582143264,0.0015072911483066573,0.0012845960494421666,0.0005209207557739195,0.0015274823987643119,0.0014388329515041568,0.052166091583293765,0.007847137706081853,0.0006713797589528699,0.01260222947438245,0.005667434857843171,0.020052127686332976,0.01695802212238778,0.0004948208544209673,0.0015157352050234906,0.01227257139325681,0.015362260392567828,0.0016945779147242196,0.004106345829490513,0.002409398952821798,0.06010679291035746,0.0009667666793256202,0.025000453683838877,0.12293211629920471,0.0076209101602030364,0.012396532619276186,0.003950542753764908,0.010899131766702187,0.002569223042615701,0.003234004979862692,0.00981966695663855,0.006903477227078555,0.007098669194723575
['xylitol'],0.00011773974948549268,0.00015658237135488217,0.0004823712598487179,7.678888708075854e-05,8.095806584704047e-05,8.014861583089434e-05,0.00013181524435583697,0.00013876604578705264,0.00012016379243535614,0.0001361572003087845,0.00013361675371736077,0.0002810677573002552,7.229054519923405e-05,8.272444052730089e-05,6.401522041842905e-05,0.0001123974717730121,3.925115863395279e-05,0.00045601436734028414,0.0001227768644075532,9.316855154008006e-05,0.00034495349760739865,0.00017512471371195816,2.5617416369046858e-05,7.521247882346102e-05,4.568356920983678e-05,5.982113558879934e-05,2.0836830230956783e-05,1.729490965620839e-05,2.267664226168884e-05,5.714713688180008e-05,2.9557111423338443e-05,2.4875581171203628e-05,3.0969987110189155e-05,0.00014856414044147814,6.717714314892922e-05,4.7092187675546533e-05,9.540110442571665e-05,2.9405106150222917e-05,2.080384037914395e-05,3.846865999347786e-05,7.936039821022516e-05,0.00010478699384607931,5.778057760374855e-05,0.00021324036946132155,0.00010097401958267779,0.0002725734429037972,0.00015440519976770963,8.633997690293997e-05,0.00010687105813498873,9.573304429463117e-05,0.00014995730870405008,0.0005212746167346411,4.9282035230825513e-05,0.00011452383951519833,7.509542503425624e-05,0.0009959042306803916
['xylitol'],0.00011773974948549268,0.00015658237135488217,0.0004823712598487179,7.678888708075854e-05,8.095806584704047e-05,8.014861583089434e-05,0.00013181524435583697,0.00013876604578705264,0.00012016379243535614,0.0001361572003087845,0.00013361675371736077,0.0002810677573002552,7.229054519923405e-05,8.272444052730089e-05,6.401522041842905e-05,0.0001123974717730121,3.925115863395279e-05,0.00045601436734028414,0.0001227768644075532,9.316855154008006e-05,0.00034495349760739865,0.00017512471371195816,2.5617416369046858e-05,7.521247882346102e-05,4.568356920983678e-05,5.982113558879934e-05,2.0836830230956783e-05,1.729490965620839e-05,2.267664226168884e-05,5.714713688180008e-05,2.9557111423338443e-05,2.4875581171203628e-05,3.0969987110189155e-05,0.00014856414044147814,6.717714314892922e-05,4.7092187675546533e-05,9.540110442571665e-05,2.9405106150222917e-05,2.080384037914395e-05,3.846865999347786e-05,7.936039821022516e-05,0.00010478699384607931,5.778057760374855e-05,0.00021324036946132155,0.00010097401958267779,0.0002725734429037972,0.00015440519976770963,8.633997690293997e-05,0.00010687105813498873,9.573304429463117e-05,0.00014995730870405008,0.0005212746167346411,4.9282035230825513e-05,0.00011452383951519833,7.509542503425624e-05,0.0009959042306803916
['x-methyladenosine'],3.2045812739672365e-05,1.7359845781386497e-05,1.936948510720584e-05,2.001761586293278e-05,2.0901556719855073e-05,1.631660859197178e-05,2.399779825207772e-05,2.127127234751364e-05,1.846532408852191e-05,2.8267323339412386e-05,4.2252699686288354e-05,2.3392322950725467e-05,5.612029166782644e-05,1.237456295284713e-05,2.2779442070973455e-05,2.0488125178385508e-05,3.712468502850163e-05,3.376268608392768e-05,3.209738026654605e-05,2.256768873308254e-05,1.7488735833754113e-05,6.84787620903579e-05,7.413400235415489e-06,2.5040693069830172e-05,7.999068538687374e-06,1.6086355788584695e-05,1.2415278012611749e-05,8.044144026143437e-06,1.1187143515766494e-05,1.410002887116309e-05,6.150082190570421e-06,1.7830399091247355e-05,1.2060919072614919e-05,1.5365915451214396e-05,9.183205304162686e-06,2.2561276224786554e-05,3.874834773593534e-05,6.861191435052014e-06,2.1368650525184057e-05,1.8394209835961826e-05,1.2658163062943153e-05,2.758480157596537e-05,2.854940043843033e-05,1.1686944998750114e-05,1.8692105258499338e-05,1.723819205523212e-05,3.0912423124226416e-05,1.2974847357789873e-05,6.0194677135697706e-05,2.741486080898404e-05,2.7561985789738812e-05,2.34808385916505e-05,1.758068808993396e-05,3.9118653064696804e-05,3.4418736474034116e-05,3.074328557486892e-05
['x-methyladenosine'],3.2045812739672365e-05,1.7359845781386497e-05,1.936948510720584e-05,2.001761586293278e-05,2.0901556719855073e-05,1.631660859197178e-05,2.399779825207772e-05,2.127127234751364e-05,1.846532408852191e-05,2.8267323339412386e-05,4.2252699686288354e-05,2.3392322950725467e-05,5.612029166782644e-05,1.237456295284713e-05,2.2779442070973455e-05,2.0488125178385508e-05,3.712468502850163e-05,3.376268608392768e-05,3.209738026654605e-05,2.256768873308254e-05,1.7488735833754113e-05,6.84787620903579e-05,7.413400235415489e-06,2.5040693069830172e-05,7.999068538687374e-06,1.6086355788584695e-05,1.2415278012611749e-05,8.044144026143437e-06,1.1187143515766494e-05,1.410002887116309e-05,6.150082190570421e-06,1.7830399091247355e-05,1.2060919072614919e-05,1.5365915451214396e-05,9.183205304162686e-06,2.2561276224786554e-05,3.874834773593534e-05,6.861191435052014e-06,2.1368650525184057e-05,1.8394209835961826e-05,1.2658163062943153e-05,2.758480157596537e-05,2.854940043843033e-05,1.1686944998750114e-05,1.8692105258499338e-05,1.723819205523212e-05,3.0912423124226416e-05,1.2974847357789873e-05,6.0194677135697706e-05,2.741486080898404e-05,2.7561985789738812e-05,2.34808385916505e-05,1.758068808993396e-05,3.9118653064696804e-05,3.4418736474034116e-05,3.074328557486892e-05
['xanthurenic acid'],1.1802587281352546e-05,9.023682213096942e-06,9.151637458909181e-06,1.8294788268172173e-05,5.296322064759657e-06,1.0220293293872433e-05,9.754500728362526e-06,8.895259345323886e-06,8.258361024514823e-06,7.725231223193448e-06,9.483571873475543e-06,7.107667358105045e-06,6.312451913330247e-06,3.118000114103214e-06,1.754183312764744e-05,8.712240145948978e-06,1.4619506037476774e-05,1.03818078656005e-05,1.9030413983170744e-05,9.659322025832995e-06,6.14469096861631e-06,7.220819641045851e-06,1.3097007082567365e-05,3.5346249062467865e-05,2.5508140784480848e-05,9.2496545784362e-06,1.4846241539556707e-05,1.3172285842809878e-05,1.2169798013773011e-05,1.5127183292241197e-05,1.560468615517868e-05,1.7569466421619346e-05,1.7171478001689038e-05,1.908608445519262e-05,8.883752957287817e-06,2.041258325099736e-05,2.3516238625946964e-05,8.527480783564646e-06,1.8732869843663555e-05,2.1843124180204667e-05,7.361484901853465e-06,1.1809467767346196e-05,1.0482317175901285e-05,3.9884018646528165e-06,9.895820430970237e-06,8.575344271130699e-06,7.688876817700987e-06,6.201213810708396e-06,2.5846302046966248e-05,1.909405641009112e-05,9.634128771489251e-06,7.04425157749515e-06,2.524886055469239e-05,7.965336596883964e-06,1.6166376222652388e-05,1.1317093530458996e-05
