,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
677.4839@504.04,20745.98936,668.08183,49773.16225,407.31468,6127.29584,19001.89166,29191.48124,17166.4709,6593.17188,1530.30129,39463.90826,1672.78286,12116.39051,2871.86779,37.67184,7442.15996,3374.81285,336.15968,394.5627,525.99093,21003.24797,236.55525,862.0001,125.75307,1781.54601,8870.26872,11314.32745,1328.1776,33143.7035
605.4047@474.1,181625.37029,255139.23987,106512.56976,99156.92865,121385.19177,190241.76065,983449.66521,356409.51771,176248.67805,444171.04483,287417.22482,196142.67718,1143274.64366,163779.80395,77978.24491,820073.77432,652635.49017,247914.792,53537.32484,124839.70533,557120.74276,43483.01248,115747.28057,22877.9289,263985.17445,239933.33456,1510993.87628,198143.49249,671829.92544
606.4078@473.9,63154.09545,90936.45664,37423.36521,34749.73972,44445.31712,67689.54806,363503.38631,125628.36377,62493.87954,154578.00532,101627.19183,57267.77311,422688.87742,57854.39832,25962.86852,299747.20307,235731.90627,84955.12798,19011.46038,42885.99936,198523.04048,20507.52256,40066.0648,8493.17102,92688.20111,79430.81649,564706.21774,67423.8149,242669.57048
663.4698@504.52,17753.61831,2541.08904,45155.86136,229.37081,10562.65836,20380.67495,26416.20651,18389.10506,7074.09338,11491.52546,33250.95207,2563.12878,12718.21011,2531.62604,666.50257,8936.15681,4488.62225,1131.29347,508.51898,1562.90193,22475.36852,460.62554,1310.48418,244.61773,3327.20037,11457.63957,12976.06348,1469.94312,31601.53812
385.2345@438.71,9570.68432,22964.02837,10281.64714,16282.85738,27424.7995,32394.08065,10609.88261,13502.60905,30445.36094,13515.98995,27019.05167,12333.51511,8108.48067,18268.3941,27442.86636,16323.787,2428.83868,19485.33325,21461.79376,34025.35018,13629.35892,24107.65364,33893.51811,7282.34323,33655.48503,36075.81071,24488.9099,13766.88628,12740.26451
301.216@446.56,92148.18279,116238.67482,99675.42822,90737.85227,119381.82923,113477.52606,99515.9745,86381.8295,102597.76346,99427.74447,120325.37804,115889.5878,83653.33414,99644.09233,119704.35415,104807.24654,79010.20332,113878.64506,100567.34456,138769.92677,100758.99451,103931.7678,131043.91412,88580.49486,110736.43121,114544.10667,103307.42624,98897.71467,93554.69423
304.2362@438.81,317737.3712,693679.06841,273613.45279,487284.86368,942522.27612,1049514.1531,349730.5394,410687.16407,901881.91476,407670.12566,822624.79738,447572.7604,237354.25409,582637.89529,915912.39294,525281.21261,47711.77822,690320.04476,759689.621,1209978.33939,449578.43016,793021.59024,1108490.65578,186383.61583,1091467.41672,1081833.58673,755648.81024,420658.56467,371379.1589
559.4702@486.62,473261.28544,886638.78142,575011.21986,539922.53568,1126586.8149,1001489.48982,662480.03435,420448.47304,751681.07678,524586.49887,666816.11867,871987.55221,435064.60386,590013.26613,880273.20599,745842.20086,385149.27828,820897.84096,709502.58667,1284386.38275,697700.08862,588236.93282,893961.75432,451094.89953,840119.44758,622208.86498,741242.41149,837779.35041,633421.25448
265.253@530.67,7584.83866,11760.38731,9258.70115,6872.38096,7889.30328,15972.18334,7845.21388,6045.78916,16358.04303,6295.52023,10217.95078,11687.88524,5907.6564,10796.22942,14997.06654,11662.32837,2702.37034,13132.16244,12160.08,19337.24053,10402.13757,11405.61614,11970.66967,5454.96459,17262.14016,11536.57688,9437.09225,12928.05335,11379.66328
259.2424@438.69,7066.46796,14809.97709,5663.09424,9472.01994,19231.29742,20988.9736,7201.52311,8435.60999,18121.55595,7980.74013,17432.10299,9802.61096,4001.60483,13092.92308,19533.35706,11249.23391,1028.60161,14751.32277,16589.93643,26220.91848,9595.72272,15037.66213,22067.20102,3687.91047,24913.68171,22264.08194,15647.35012,8769.68675,8201.038
303.2328@438.79,1410811.88428,3026641.50473,1218185.71376,2145915.33943,4159288.06037,4684594.68926,1632735.00498,1813413.31722,3962590.0381,1785487.38236,3599843.68529,1998803.30689,1085145.23285,2548567.12962,4010129.99329,2312444.03111,245216.25236,3031550.55517,3356329.40518,5378209.19109,1989817.03254,3484561.0329,4919730.95973,842368.18399,4796168.92438,4790444.84314,3312733.16429,1873572.72006,1676899.97954
307.2471@478.92,13469.00437,24979.91921,15337.7586,17963.76782,25660.99396,28787.66699,16838.77205,16503.57605,25245.4114,14816.94195,26193.2191,21777.97797,13345.79831,18929.67415,24367.51487,20045.9134,10969.98123,23569.47489,17732.00231,30773.73562,18233.41238,21237.61842,28767.94376,15405.96796,21351.37416,24617.06449,25223.60721,22982.82262,14534.27494
439.3779@603.13,11937.02027,1864.87195,5573.63182,394.4425,2985.83294,2845.89841,7540.83202,3711.88299,5240.90917,4498.98364,11342.31398,16596.04156,6434.37452,2157.13952,984.32702,2349.0823,2834.1527,1363.80974,4496.88548,2283.07569,6287.62663,1602.78879,550.95036,166.80256,2022.43345,6812.96787,1712.06558,738.48691,11857.2865
283.2643@530.71,16711689.99797,25436662.80445,20838231.62852,17070334.14129,29418329.29828,31308702.43079,20059979.53606,15300069.39121,32388292.66994,13741692.41813,24025626.36267,25290965.57689,14134300.39588,24460841.27187,31117707.33633,27257768.08075,8404825.41225,23497034.1323,25474950.7453,35877870.83652,21612490.71223,25871333.30927,27506681.82501,12973955.88176,33432658.50214,26467129.31391,22982747.82728,27638590.56613,25617718.20762
357.1785@488.19,5153.28092,18146.7244,6919.53287,7787.01,21482.70544,23135.32243,8995.49215,4174.60567,18386.24787,7281.11964,12133.73212,15149.38163,7489.56699,10506.44112,15028.19671,11576.77931,2034.97952,16908.65415,9156.64175,22946.56048,11435.33584,13763.60374,15224.03028,5758.66298,12554.08521,14740.36453,14716.74022,20305.72031,6821.23811
371.2192@438.68,9083.96024,21537.80386,9168.72019,14927.58895,27037.71614,30694.24039,11951.75237,13790.11352,26991.4539,12939.96289,24845.31286,13504.97377,7779.60776,16921.70968,28347.4054,15571.18557,1672.19735,20878.70942,24736.64939,38141.12951,13672.03088,24399.12977,39817.21147,7449.24131,33451.83358,34158.46,22735.42146,12959.59622,11766.07545
324.2231@479.2,146184.05524,248523.83415,198320.40129,188860.00182,293965.44625,321910.78158,186622.50841,163123.04522,284004.78368,154829.95748,260799.05992,241192.91588,162360.30469,210457.45198,271990.53503,208036.17779,107720.37618,266276.95153,205168.90446,353817.23349,215928.07634,228832.82532,298926.56084,154385.87279,258518.40057,253782.27235,266550.8435,254645.40127,159536.12324
257.2391@478.98,941647.31274,2677040.56445,1763402.31282,1623459.05207,3369729.91771,4121139.59385,1487558.71731,1153751.12686,3425473.51021,1222152.43686,2433048.80469,2284240.31098,1286376.38053,1803969.67743,2660587.99065,1676733.73936,579122.47787,2557198.05234,1693533.03994,4372879.42084,1896715.51275,2344020.35135,3378385.33599,1091456.69947,2688575.51519,2774482.80814,2739006.13644,2675583.1723,1394533.42123
323.2201@479.21,814414.65223,1389375.35806,1127304.4577,1079832.2117,1653391.56978,1800711.25246,1063049.40058,931494.24566,1610944.08719,883108.97855,1466359.07446,1350922.50274,930714.98519,1189379.36677,1512260.90653,1164715.40443,598244.48503,1507302.15149,1146967.1604,1999315.08238,1212020.92433,1298252.44351,1674693.29119,886250.993,1458870.9661,1440374.2916,1499701.15238,1452941.23055,909833.47846
285.2704@530.71,405998.02003,671214.43461,512159.28161,410901.50903,798940.94407,885164.06513,487150.87425,403762.98341,901850.89794,331684.20412,613123.31096,650629.46565,337579.65964,624744.21533,862792.74751,695308.21363,196261.23764,589608.02867,639845.79592,1059012.75488,536545.45683,667767.10336,723033.24109,311718.02974,936942.66293,694909.2965,576491.4653,719680.134,661801.06954
238.225@479.02,4341.92686,12020.01703,8153.34049,7114.12471,14913.11485,17065.06661,6477.82844,5401.33379,15497.94076,5264.06824,9967.76348,9283.48778,6400.95705,7916.60821,11278.3619,7751.32012,1988.08053,12088.78912,7637.51803,19336.02644,8167.30575,10752.77051,14386.96394,4831.23588,12217.87773,12151.17021,12120.30366,10995.48357,5233.4784
284.4373@530.54,158743.12458,401839.78565,260703.04748,175055.96011,498361.95021,343149.07753,227294.91733,131731.01463,577475.94165,108304.94248,348618.81538,75227.29087,101816.5259,53499.88108,553712.72222,415238.5125,13989.59623,115754.43109,365825.17706,682133.3814,29255.40154,386744.88566,440619.66063,83852.90037,598458.67731,421251.38006,322108.86398,415624.83421,388740.73045
237.2218@479.02,23906.43096,67152.61127,43726.71492,38161.44252,85070.74527,102579.80215,38971.58567,28349.36819,82825.58837,28423.02228,58163.85352,56159.15881,30405.51355,45083.18936,66388.80024,42105.19934,14635.39923,63798.89126,41361.61811,110286.32502,47483.20964,57425.32297,83229.95349,26262.20116,68378.48547,67902.12571,66050.60281,64159.07538,32159.41852
321.2788@519.79,10264.14184,15341.18515,12965.96831,7617.65293,29202.14448,28870.062,9301.24803,7107.38066,14319.45635,9436.44205,11643.35696,14225.94739,6364.22991,13690.15092,13267.1474,10805.12419,4545.84608,12892.79665,9541.19528,27122.53113,10748.67429,14072.57973,17612.44341,5494.86969,18964.26262,17175.28385,14446.41605,14056.92616,12228.1616
535.4607@479.02,100600.53863,390322.27184,226791.00044,205880.71871,506986.78603,652514.54652,186717.37961,145530.84625,522141.01039,136259.3133,369055.83413,327297.12095,146760.38473,247574.86854,409690.02311,223171.37649,44743.45435,406882.21847,225075.5894,727711.72558,265012.97841,324305.54514,514554.52683,125416.73429,397315.66761,395614.15336,424246.50992,409745.21866,156987.06661
692.5059@487.32,13944.27972,71861.70696,20014.04288,32721.93125,69927.61404,75863.82264,41953.819,5291.36675,60119.60335,15823.86645,53850.88131,59946.73144,12392.90653,35566.8187,53532.18988,41645.97571,992.52179,66446.03472,49955.8874,105558.30233,49112.55918,43390.49309,64080.08202,10699.13464,58212.88258,36495.31181,46923.12372,60848.26197,17412.19437
350.2389@488.22,245021.8795,450790.39186,315496.09691,310500.2072,525177.4005,538154.94434,347470.82006,276485.23098,475813.72716,253597.25553,459745.2869,447428.29337,273061.77114,360841.15416,445444.56534,387219.19831,143616.29804,484508.54764,340147.8303,639049.49984,382228.35969,394515.59652,542830.36209,281061.06471,440031.34443,425884.43292,436063.29967,514127.37831,279242.63484
295.2254@479.09,514635.93525,808987.59977,663088.2846,645811.73195,896025.97913,1002011.95961,605406.76632,622453.56309,921342.46181,545980.26149,902094.90609,780411.04026,575466.38204,700914.25685,869902.9375,685401.71532,404876.60012,881635.83076,669347.07613,1093112.074,739127.1451,758578.87955,952030.93589,551535.47725,801110.35031,819782.38347,919479.79174,869957.18695,544255.73412
533.455@479.03,1572497.28317,5756841.33712,3514585.26999,3216220.34906,7529869.7873,9622069.07984,2923046.57876,2276642.74092,7872853.00141,2135448.97115,5706118.96071,5040482.21948,2345579.08981,3751952.84275,6006008.21441,3424006.9751,759492.21391,6139401.51347,3492774.5361,11129598.30382,4040647.23784,4983541.55828,7855392.77242,1970947.14074,5982427.72255,5980198.79694,6500321.77599,6241207.01922,2425247.06437
263.2375@488.1,14031.118,52228.60755,22030.10234,23107.08571,62360.3187,70698.42399,31083.89648,16152.17199,60362.23553,17762.66807,45223.86995,48290.87668,17965.37977,29935.20323,44963.57215,33667.00225,5491.69657,47678.03643,27330.96804,76935.2463,34392.10538,41898.08293,69178.76556,16241.65241,41297.51825,46503.47684,44304.41102,58694.41042,22682.55033
534.4583@479.03,539280.06178,1986733.11347,1205298.9029,1103941.67767,2600284.1213,3303130.57596,1011748.04698,784896.91624,2691697.44272,724258.37352,1945369.87398,1733632.66995,801371.58521,1302044.51858,2057571.31383,1178846.55727,252841.00071,2083713.07822,1206054.96638,3821232.7498,1398019.65389,1701959.17343,2685077.28682,680272.86739,2046547.30695,2052581.16168,2212342.80621,2124250.04191,828783.46204
349.2357@488.22,1227309.9262,2349955.13352,1577915.90279,1630792.01293,2750320.29766,2824547.24215,1790034.41919,1405070.52668,2523925.93592,1303053.13976,2365992.51738,2309752.77776,1424102.51956,1825863.54909,2326708.14214,1950297.07087,708988.28005,2488435.5031,1735775.88359,3382771.50709,1957802.29019,2043230.10472,2831359.27877,1431588.69846,2207582.61258,2211939.49822,2314460.20714,2666247.25327,1432774.83289
347.2582@379.62,4760.14889,13943.42078,3958.42256,11631.67247,28005.60533,13195.37219,2345.03451,2299.02305,21743.17875,4041.39358,14855.66855,8246.70369,1336.0924,5513.8795,44984.04032,6194.11123,1156.82863,31164.01412,24943.86628,24070.14492,13193.92701,28842.24378,27512.17097,4636.68872,28394.43895,26438.77468,10193.73814,10040.1686,2910.1769
285.3659@488.01,12489.32673,552355.12699,110915.01658,195045.54361,614829.44356,791910.77957,274100.29009,92895.20301,615278.70408,132176.19135,18917.03019,466066.1329,129325.35596,219461.15501,455391.522,264002.76855,237.05772,417179.62475,197593.64331,725279.37926,291605.12728,413837.34517,708327.20327,99487.30141,353580.47362,469877.95039,463040.41422,596838.12781,182544.20576
517.4802@479,29844.40132,142875.4068,66139.98551,64681.67453,178245.48392,235812.80669,56253.47565,48617.62937,186101.0156,44833.39091,141104.51837,113538.65008,47048.17155,79280.27332,144075.62011,73402.15271,14739.72711,142966.38714,73634.46039,276591.35755,89916.71808,107371.32202,194354.19342,41725.12942,129577.63955,148791.71559,156760.25794,144046.66264,49247.89008
249.1851@365.57,6614.34436,18559.01158,3119.87289,9639.43701,23882.89639,67567.65083,5343.51301,2686.39945,14962.37648,5457.92188,20342.59901,13237.23417,3523.01839,10649.64151,10840.52931,8660.59865,422.56803,21301.35582,9957.38624,39172.41042,10803.10587,10499.75844,21975.10819,2886.11664,15988.66078,16794.66129,20160.18254,21239.79604,5148.27412
329.1644@478.98,7078.17516,14880.54252,13056.8886,10810.62669,26197.25692,27451.40312,10114.18646,6684.41821,18631.38042,6977.32897,14172.25935,17726.85982,10198.41829,13617.79331,20630.58658,12696.68466,2347.1942,18047.28514,11361.86534,28217.364,12258.89303,16121.51862,16718.81949,7108.95473,17698.86126,16483.91374,15937.01512,17756.82392,7573.24962
366.2259@488.17,108479.2547,217814.35677,149632.48054,164557.88677,258266.34557,258397.14716,197117.55277,113680.86239,223145.05383,111632.91854,205035.65823,224173.81087,121502.22241,174708.32212,221167.71972,195918.54535,74990.31416,246724.28701,179983.54565,333382.99749,181464.83136,180234.28446,254217.03774,116702.44889,241258.6606,224636.70727,227409.74663,243856.48492,125533.00143
346.1625@478.96,674.77114,4844.65754,3891.48718,2988.80854,5325.38892,6285.48846,3077.83002,942.07774,5519.90343,1073.79235,3784.1467,4557.54255,2809.17416,2484.5072,4660.53689,3111.50419,213.45829,4032.85159,2960.15645,6952.90753,2726.14873,4120.15933,5695.74047,1388.95129,4513.28311,3990.68231,4161.17648,4758.51203,1462.32189
282.2055@497.77,97077.4261,97805.06809,375783.71479,95828.43774,153907.16792,343142.88308,194478.57454,179612.81062,168888.00103,169301.58195,102366.3192,183864.48293,358093.21202,96948.29388,178440.11583,128190.83723,160873.63747,169180.66506,128957.19664,178321.16701,346148.76057,184053.90222,147503.41897,318928.52033,197823.41406,100379.78674,168077.361,109408.9819,113461.3794
359.2943@517.57,182239.88866,236127.29488,219143.76221,175423.89063,328769.05216,566672.16975,255380.82408,169335.44078,308419.58263,187227.2403,241653.25648,196268.44412,146037.90725,269639.52032,460022.012,195036.42717,65915.45687,399603.38345,244831.91816,451507.39389,228834.57595,349536.07719,325851.83326,129259.07342,537824.71974,371620.56259,360800.40141,314885.61064,175772.42774
286.2727@530.79,27345.89512,44871.32085,35876.20919,28872.54154,51602.62195,60178.70676,34029.93012,25920.17259,58558.74395,25818.69944,40244.88294,43886.86785,22979.87591,42142.98853,71115.02197,47240.92322,12963.34918,40992.3921,31418.39225,67594.99117,36714.62907,44801.6478,46597.26549,24689.89043,60923.62151,46314.35886,38443.53444,47448.90911,45255.71167
284.6172@487.98,88710.32677,419533.08518,290897.97606,209906.5292,318984.27554,735328.47934,264029.40866,114544.55931,661408.97839,291184.84146,435372.3161,532189.59401,168556.43941,290249.53072,489289.20998,262274.0734,1313.28615,251420.51489,272921.04769,797307.0279,280331.40969,342899.53295,318903.08077,115086.48453,462620.99858,720364.97324,211400.30217,304506.23062,374676.33753
284.266@482.16,233891.53125,164693.5966,173513.43074,163522.99593,150045.44868,151503.99345,219903.47413,223957.24238,154572.17241,211177.40587,170109.36501,149842.55595,206253.6595,177492.1823,150425.12424,190725.73085,198069.86742,161242.86091,222795.07543,144047.60485,226933.23573,174465.89036,141532.91477,204971.99071,145967.43009,167800.94735,162184.43118,161385.56052,156785.6627
344.1642@479.11,4983.02106,10337.02067,10206.387,7794.16761,15889.89514,17211.46424,8578.8683,5333.68932,14657.9506,5962.41864,9601.92728,10775.52911,8637.31673,9264.47948,13128.7583,7353.8933,2810.04706,11894.9036,9044.37755,17733.45505,9983.12836,12485.41368,11727.83847,5445.61332,12826.77146,10278.10536,11352.80765,12507.26428,7397.67893
352.2226@479.42,57465.92425,82651.12281,71689.24304,70031.94028,87073.87292,88461.83668,70748.53769,64431.49196,86585.06077,59793.76149,85573.73379,82902.08605,64306.63236,75708.65291,88842.53781,78179.75529,42653.39022,88073.80353,75056.05177,89686.70555,80711.76449,78903.76687,80294.17635,59337.10056,86856.79733,79810.8189,85822.83455,85645.87835,59840.63721
242.1476@229.41,38671.26913,61274.80086,44862.48384,43464.07433,62274.27112,64206.14431,29802.95962,46702.23331,61819.64279,58439.21171,53345.15385,54638.72934,34199.20572,43887.78069,52933.12351,43896.43575,30921.75858,53916.63019,34270.72778,52942.28815,22184.96301,53576.65976,55322.51766,40866.099,32626.25245,54053.96779,57780.58789,56888.0045,39754.06398
309.2708@497.09,27670.75621,135107.6006,37492.31421,57314.06241,143656.61017,164233.7955,45987.7065,35236.19172,143134.19856,44029.71076,134876.22523,122501.19018,41968.22675,72069.68295,178553.28656,75281.14792,1496.55244,103422.59998,84703.35557,355342.49709,73961.46435,125149.10251,156036.50991,34343.00933,141681.23153,139648.86972,133737.94158,137264.76487,49642.59636
335.2944@537.41,8656.17785,31107.43113,11257.02185,11918.28686,43481.32003,48102.64358,22217.0643,9273.01568,41627.63783,13416.7186,24034.28106,30520.52349,8918.74812,21708.36407,56532.59496,24002.78438,1553.07689,31670.79606,28760.33456,97680.2768,17946.84065,33978.47809,32685.48859,6576.48449,50421.40322,32160.14355,26199.67587,37567.71968,16168.85642
302.2195@446.55,19001.49794,22294.01206,19575.73571,17342.18773,24135.10339,21467.04694,4357.8676,16921.18113,20657.19933,18867.0613,23148.22552,23033.418,17782.56745,20281.96609,25013.90748,20735.79718,16661.53732,22766.78873,20210.74112,25395.68452,20084.47544,20202.25249,25100.14584,18021.4004,22118.94108,21757.04418,20328.46674,19816.85023,18421.08358
363.3255@583.05,3624.49045,6906.75752,4257.54817,1862.81789,6876.51206,6964.55459,6800.37039,1882.39326,9241.26983,2829.77817,4898.9617,5540.17115,1496.90438,5407.7362,11000.5199,8895.10204,186.1774,9288.28962,10093.21372,14509.93499,5803.3162,9554.10795,3813.0714,853.83439,13332.00236,8640.06606,7143.39509,7484.06361,4601.55893
305.2479@503.98,433561.56678,355409.87755,758644.61156,363695.1729,378912.91232,426143.38127,854499.13724,438542.92138,350117.19554,705882.28014,397432.02085,373479.4167,744443.64746,427569.23579,413492.41576,856850.9078,409734.7172,399793.46673,381449.46881,440976.25488,815382.4159,368316.55723,416417.10644,732627.17006,441341.78025,370782.24496,397948.60976,396957.76322,343543.39385
601.3326@367.82,76336.31477,44908.83988,57324.85439,11895.69313,51415.5376,81325.4976,48122.69183,42162.01217,39868.40752,46330.96758,121568.5746,57730.22049,42096.69266,22060.87289,21182.64755,17196.29616,24154.67853,18290.61864,15295.64471,23262.36478,72964.98562,14287.03993,22787.01317,6459.59522,29179.70613,36129.54505,60301.83695,12209.6752,43359.03481
336.2978@537.42,1770.76963,7419.36241,2435.80889,2688.1729,9719.05361,10404.67393,5118.34598,1603.26992,9881.04564,2977.76708,5470.02996,6833.30447,1836.31998,4698.883,13495.17514,4892.22992,397.77847,7057.54215,6345.95409,22891.33198,4458.83332,8482.28073,7332.76881,1049.13044,11425.25146,5955.12554,6065.54081,8898.55925,3352.24127
728.6084@488.35,22729.92776,52797.16625,39559.83234,31110.47779,85889.25347,95055.74951,52731.75938,28602.58102,64021.81459,23194.82312,50738.28292,63043.05723,27333.55625,52632.95436,71068.23959,64015.41846,0.0,67821.04688,44287.69356,100583.44671,50306.05472,57538.30559,77716.6632,25843.25105,65671.40333,49710.04394,57652.52839,65986.20912,29177.04879
337.2358@479.5,1665934.4994,2104502.66945,1901355.51735,1860849.24739,2243237.5618,2525469.98504,1856293.79433,1890239.94678,2341775.16891,1646321.13139,2330293.36348,2108711.63663,1712942.16391,2005776.83833,2283888.17742,2030364.52563,1342598.84194,2352160.34858,2008923.55689,2710200.03361,2121742.29475,2092666.75267,2373823.81799,1659998.26044,2216223.27876,2144374.57461,2390546.61695,2314229.52622,1592907.13603
338.2388@479.54,319905.47664,408926.56536,362316.64647,353370.97836,425937.61542,481102.01608,357399.47562,361789.67753,443288.08413,315379.26736,447361.92973,400193.02654,328590.012,384987.77658,442283.20375,397494.99172,258407.30974,451591.48084,388533.97699,521166.41215,411975.07465,400081.56171,453566.35829,318471.73281,426306.89772,409154.35542,457952.46839,438663.2675,302463.12152
351.22@479.42,267600.04553,375762.67856,330408.47722,330996.04691,399624.21212,406204.18124,337562.13522,305670.02338,385634.44346,282189.11476,397824.05097,377947.8398,296714.55756,358183.40523,408744.86243,360816.2784,201894.84136,408770.23516,348673.9478,409377.21483,371614.56235,365350.00278,367499.9372,285638.4662,394151.1665,366280.26194,408281.59203,402269.09189,279176.26692
360.2979@517.6,40776.92436,49318.48458,45619.88789,35316.69467,79256.53668,131509.44821,59757.40969,36583.83821,69282.56788,39998.97259,53747.33278,39675.00144,29750.78436,54216.92547,109111.06428,41306.25364,8728.80969,87240.7173,49196.66189,102167.71543,50773.86439,74766.51173,68408.30024,17323.17479,123986.27811,84592.0943,85354.50855,68210.89747,41418.76619
553.3321@377.58,66592.50381,56867.71331,91803.57579,15135.93677,193682.01987,43834.32185,126969.44513,83720.1911,42125.48499,76186.37838,40732.33137,65066.99281,47157.01718,46582.87156,20144.30748,16917.89974,32285.72334,49804.67995,22879.33845,11424.73997,89338.00596,29550.1264,21902.71741,2802.19001,31258.69005,36634.39792,58343.95681,26673.02479,85657.84327
