,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
76.9692@482.31,130605.5471,90464.01118,104127.29431,107460.76182,93332.78829,102989.96891,116378.76972,125491.1151,91916.81286,101879.06013,103812.13276,99086.71388,112342.96266,115072.67592,109454.0393,121257.91097,127339.83938,111719.98392,116129.38723,104994.47851,121036.31468,55031.52288,96656.84498,111627.82582,112143.22732,95739.01115,111090.38773,111910.38451,90706.84009
89.0243@30.62,64657.26478,58371.92517,98171.75956,44928.87181,86787.74121,74980.89849,34070.12614,41178.81743,49572.89035,43838.70183,45161.15808,54638.75333,34044.48123,44086.02261,92844.98318,49193.20623,43515.11567,54447.05397,77869.04477,36421.85605,76474.06465,34576.04885,76036.66209,30167.57342,62606.94415,73001.74215,48941.12787,46336.59973,17922.06621
94.9797@482.45,638670.89342,500889.95562,540877.62755,547265.8718,508390.50358,530405.99775,538267.62255,649305.37534,525130.51779,535324.9854,571754.15894,542833.77962,559665.91013,569810.99418,582515.31375,575074.01259,672121.99923,559862.97798,571239.17837,544838.66408,614785.25636,554611.15675,532125.99445,585866.36043,516643.64427,505618.03012,570442.29984,563320.94491,462965.35783
94.9799@629.66,100534.00809,98875.31155,149701.12023,107638.30212,146229.51136,131514.74407,101487.2842,86344.01979,149879.75892,96100.37671,89620.75866,113728.057,88563.15228,100981.62412,142419.08619,100222.80343,91007.02379,97690.49254,98577.76701,99663.93177,140555.18891,95599.5938,95638.28824,85154.25086,164943.16303,96094.12877,97301.7478,128623.568,94951.03627
96.9592@638.38,129192.84816,75780.7609,92781.60544,71108.8076,87314.78773,79084.48695,153295.41354,80481.09275,84687.64407,73698.5457,78042.00243,95569.98201,81970.44913,100006.2453,94354.75099,114985.3312,78855.33044,105283.23411,113059.37237,136664.90007,107882.7177,82107.83944,72568.19552,75176.22005,117155.53874,78483.3458,75777.83022,83938.6894,75760.0031
96.9601@27.71,95718.1594,133498.5237,106734.56159,31597.52029,167345.64236,128136.69309,123393.39287,127552.55346,99598.60129,153807.51022,118356.62577,130989.5084,33678.23615,94151.94231,95492.65842,210105.2485,26322.43617,112491.89951,59533.42956,244990.32712,134823.29373,112343.61948,78823.73387,33672.31573,72441.55134,119623.24895,244680.39011,815657.08939,113113.8649
97.9303@635.47,330648.0297,562850.91054,395276.12167,546227.94967,426418.12785,490630.0854,257797.2432,529638.49058,548551.36079,534104.7537,533214.91553,407261.13684,534152.83749,360278.82089,429370.71254,313863.51943,562674.76651,371436.44837,294888.96224,363460.47103,386528.80133,504661.53249,524495.14947,546200.50154,285474.63612,567453.6585,541251.12247,490369.37855,558401.45547
98.9387@635.25,43819.35602,67608.09043,45558.32386,15290.56772,51043.98937,14256.4598,26531.60762,66442.10015,16752.52737,76609.45314,62260.43731,51191.77788,13642.20843,47346.31173,50674.66951,42794.97089,70164.06775,41379.49689,34341.70637,38204.4083,42213.53744,16428.09183,62172.16939,68594.82493,27699.40413,72973.64771,32363.08146,14635.65672,69801.74082
99.9248@658.25,258930.72872,695898.08522,409895.24304,594637.9475,482594.3604,513974.85937,209004.09783,649478.2564,596341.83187,672941.88584,635756.39633,391476.21526,563576.13197,311113.05529,468672.89437,243014.3433,681160.12042,297270.09649,216470.34778,279287.11656,371378.49111,556443.82143,602582.75015,646457.34889,216097.2819,673699.33954,590724.60838,542082.53136,701803.37514
