,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
76.9692@482.31,91916.81286,93294.30364,114472.59991,116378.76972,111719.98392,104843.00696,92380.41423,98940.22335,111615.96004,105953.10774,112143.22732,104994.47851,109564.22123,110666.49814,99086.71388,82002.8927,87421.2779,121257.91097,104127.29431,112342.96266,95739.01115,105715.72133,127339.83938,90464.01118,55031.52288,93332.78829,111218.32178,107460.76182,112436.84875,115072.67592
89.0243@30.62,49572.89035,46087.15557,48276.20254,34070.12614,54447.05397,52009.55386,89349.7339,46040.2883,35013.52988,64631.88522,62606.94415,36421.85605,106026.33587,56493.52358,54638.75333,40975.28516,58173.03959,49193.20623,98171.75956,34044.48123,73001.74215,68936.40216,43515.11567,58371.92517,34576.04885,86787.74121,20214.31261,44928.87181,94966.76353,44086.02261
94.9797@482.45,525130.51779,531176.66617,624937.71387,538267.62255,559862.97798,481551.10979,508794.71927,517486.73857,577611.15913,595021.55933,516643.64427,544838.66408,568018.02003,536199.37049,542833.77962,561177.96686,510901.9923,575074.01259,540877.62755,559665.91013,505618.03012,581575.32254,672121.99923,500889.95562,554611.15675,508390.50358,432954.0617,547265.8718,557000.07064,569810.99418
94.9799@629.66,149879.75892,97227.69437,165676.0205,101487.2842,97690.49254,95677.36207,100212.50402,99639.94642,109818.00027,99483.94408,164943.16303,99663.93177,95741.62109,97812.4503,113728.057,95821.4359,94379.12676,100222.80343,149701.12023,88563.15228,96094.12877,102112.0417,91007.02379,98875.31155,95599.5938,146229.51136,88868.71289,107638.30212,106673.57692,100981.62412
96.9592@638.38,84687.64407,84819.56433,78866.30701,153295.41354,105283.23411,138456.03235,95598.46666,92213.82702,85428.68342,81245.03734,117155.53874,136664.90007,75775.96407,120201.81761,95569.98201,77220.9288,88593.07858,114985.3312,92781.60544,81970.44913,78483.3458,78336.32938,78855.33044,75780.7609,82107.83944,87314.78773,82659.97899,71108.8076,91412.50077,100006.2453
96.9601@27.71,99598.60129,38221.0498,106630.86439,123393.39287,112491.89951,129473.53386,115712.78196,97778.00469,97787.93233,113587.78606,72441.55134,244990.32712,131737.31387,162779.91134,130989.5084,122147.07704,197249.91327,210105.2485,106734.56159,33678.23615,119623.24895,99006.09798,26322.43617,133498.5237,112343.61948,167345.64236,20916.70406,31597.52029,109737.5278,94151.94231
97.9303@635.47,548551.36079,490833.58329,515863.28738,257797.2432,371436.44837,254732.2661,375497.90549,392568.01311,424486.3319,494972.25903,285474.63612,363460.47103,515505.85575,309016.05038,407261.13684,546762.24922,557887.44962,313863.51943,395276.12167,534152.83749,567453.6585,527559.39419,562674.76651,562850.91054,504661.53249,426418.12785,533232.03757,546227.94967,387990.64536,360278.82089
98.9387@635.25,16752.52737,16460.51953,17334.07967,26531.60762,41379.49689,24418.79902,43933.00351,42560.96701,53071.64068,11582.77483,27699.40413,38204.4083,64194.11456,41476.04454,51191.77788,12269.31346,69257.34973,42794.97089,45558.32386,13642.20843,72973.64771,8745.92816,70164.06775,67608.09043,16428.09183,51043.98937,63576.10529,15290.56772,47439.12459,47346.31173
99.9248@658.25,596341.83187,520850.05968,548922.22662,209004.09783,297270.09649,200830.7399,338425.94432,398166.49866,464085.49281,537098.43084,216097.2819,279287.11656,614170.1685,241205.87436,391476.21526,660132.58463,645924.67867,243014.3433,409895.24304,563576.13197,673699.33954,573151.15435,681160.12042,695898.08522,556443.82143,482594.3604,624305.1839,594637.9475,387736.78574,311113.05529
99.9248@532.39,2816181.72514,2270653.42113,2212887.70075,1229810.29645,1652200.27115,1759831.42847,650309.69319,1495983.00954,1881387.30357,2371227.2027,1698317.07433,1456396.62979,2700072.36692,1617897.2229,1555720.67059,2644717.93234,2846534.84864,1590673.01831,723261.91571,2360454.39845,3205151.18657,2690706.43874,3062001.17226,3255055.20435,2361021.44857,1688391.71039,2729674.49458,2896121.44453,1305724.77972,1351012.54679
99.9248@570.73,18350434.92717,5330087.98391,3239118.52898,3208145.66546,2237108.18079,2189713.23577,3922926.05508,4059578.28337,3441701.94862,217175.38038,2024320.64489,1485233.81514,14291810.44563,3328358.78568,2212923.89127,13401009.46745,3695101.2126,2056981.49157,2978092.86673,15992368.54259,222287.30269,16684218.95536,8256949.62527,4091045.90331,16376540.51406,3926204.94542,15806110.5383,18449351.56618,4286353.69787,1629300.8927
99.9248@604.65,10051040.41465,6391242.80985,9815208.13821,6335197.38609,5294363.23308,4421922.66683,8116150.91448,8538380.87814,10748631.14186,6148499.65453,6173154.87566,7343460.19638,9353309.13209,2523117.27071,8116951.38977,9611433.16398,10111884.2627,4814975.30268,9706488.34568,9637525.47744,13284097.7954,9854553.75832,10156684.29073,9842159.1083,9320861.02141,8653742.91069,9478362.93493,10227805.13542,9009319.14108,7824277.25459
99.9251@635.53,14317256.02968,75777.24596,79217.09377,6942948.28939,9733693.13059,7239953.16637,10166701.76758,42949.35641,53956.7956,69490.12209,7643326.57282,9855313.37461,13709956.07201,8674267.22706,10754808.43737,14270285.18809,14487216.53785,8644198.32205,10619220.16148,87869.04654,14604902.05991,93883.7582,113128.83972,14327707.43608,79586.46589,11652004.14583,14044977.26834,95944.69778,10520696.59466,9866325.5407
100.0266@635.9,27176.52415,15034.17362,18771.3433,32670.3797,152025.96469,19038.53428,166195.77883,192213.54157,255375.47381,12662.78948,54989.14454,140470.17138,20936.80836,89843.39833,206928.4284,479749.11065,496165.30497,97166.14872,3768.41167,21244.97411,514830.99399,22814.19192,503436.57062,509586.66606,15935.74083,7118.90951,453469.2051,24801.1228,191172.07405,144431.71448
100.9298@637.15,292978.47423,237514.35373,276633.46814,55936.59866,114892.10734,945339.70562,119146.34968,151023.20091,182210.54629,243469.69118,66497.03923,109580.84645,274209.25289,89599.51187,154564.65012,283597.93443,289591.06172,93316.41048,156611.7159,277639.69432,295642.82104,284827.69008,288753.13547,294260.7164,275022.98779,209170.96205,303691.54705,290097.37899,138987.44228,113452.62877
101.9273@636.52,16033.84448,12337.13276,14958.29224,174481.27096,191563.70942,187670.66195,268912.23342,284155.93601,300324.29071,12422.19079,195949.70728,327977.77429,15768.54682,231185.08877,284777.66553,15095.95959,508077.30607,171747.252,281150.96328,15903.21628,447419.30344,14445.52362,500237.50405,438425.52345,14938.74665,9431.41726,420850.00995,469568.38117,293260.47326,263978.9186
102.9743@635.73,122613.80608,80979.32947,91557.67708,14042.62807,38126.35293,12868.42843,34592.21381,44720.72268,59775.55563,86133.65837,15503.27358,29409.72202,140321.00975,37799.92061,43497.82168,172255.01712,169902.99128,39854.99818,47007.72227,101478.34676,197108.97656,16100.32398,179051.20233,211547.0642,98443.85625,68063.6559,136378.00363,124442.13647,37737.87209,30479.73726
109.9332@609.05,680050.04677,612623.19056,585437.57825,153432.98253,462218.25356,161429.65785,906027.52287,653457.2204,174952.42074,507331.05124,193682.74696,439130.24818,645747.38281,329300.29714,658489.59754,1103452.59241,1402664.19458,330903.24653,620681.16167,984452.22419,467871.74545,690656.53898,1390574.61867,544687.97446,401090.6463,947332.42885,1359548.21407,435611.02683,214014.76461,493142.6045
111.9365@636.84,62029.01837,66484.00444,61594.24731,58894.59347,85474.31216,64117.03651,73963.10695,67380.92755,65548.99639,62367.5863,74864.3894,80172.08491,58981.26632,86439.43192,71081.9603,59440.58349,55857.95742,89636.55884,70863.10883,60067.36842,59799.97571,58006.79532,61901.55219,56984.02869,57989.50026,66175.17873,58006.94888,59449.85991,72801.75701,76820.80886
112.9375@28.1,34209.45231,30765.04217,14566.37504,12201.21138,72864.26999,37968.2995,54723.11366,17267.35886,20543.8832,59292.1789,22676.13697,71992.23329,42555.27206,70336.63278,67297.87866,43577.14868,68188.70253,9469.08529,37936.57681,1482.28319,125177.12255,63981.53626,5319.16732,36038.20607,101848.67824,9354.66212,3095.57729,16270.8342,38960.17869,14468.16556
112.9535@634.39,28313.19686,22253.90766,69765.51564,41978.68837,60489.54769,48092.58678,60671.94192,26687.05551,26596.44296,24879.80952,53667.68772,62281.84528,16936.69077,57023.75662,63284.18134,72493.87991,27887.66232,54416.17277,63809.24368,72052.66714,73281.4493,71149.98632,78712.91281,26483.77525,69819.20628,29428.82575,29805.34553,28880.36953,61585.61707,57640.94654
114.9364@636.17,5348438.0996,6121932.87646,6287156.41654,12317004.03299,6942914.33449,7058142.60998,6968493.50278,5787214.69614,5414514.59133,5688412.05454,6905461.57652,5788179.00205,5225571.76935,6896174.29273,6190734.18984,4436223.57161,5334268.07291,6824970.60956,5967389.73988,5359413.20812,4985163.19836,3259077.91088,5282799.77582,4386104.87779,5993742.6221,6079911.64579,4886126.7292,5144385.49564,6888733.24831,6815947.48238
115.0431@637.21,18806.03805,16342.6493,18608.89123,7838.72717,13632.06471,8744.95268,15664.67221,13911.92317,14701.77249,15632.96496,8808.03965,12822.04512,19446.69036,11495.47222,17147.58099,16476.72617,17792.99903,8670.3997,13467.18247,9710.17365,21781.1187,18618.50793,20698.40479,20249.43062,14919.79992,18383.83351,16564.29415,15156.89849,13673.5672,11879.96845
115.9197@608.14,959884.09677,1268821.07897,1445092.59605,337292.14166,559010.667,879060.38623,324179.45927,316241.87818,938364.15194,1354917.29275,178351.37048,1572780.14066,2218866.21231,594603.63297,1035640.73425,2506121.73411,2702885.0361,553691.81229,88864.91361,1235183.8794,1215873.15609,1694543.81438,999924.83757,3034498.99264,1418650.48547,971300.80171,393307.29258,1649178.46364,596120.74984,68464.85145
115.9197@569.35,2014738.15238,957810.15526,942637.48097,471043.43104,565769.39428,460657.54754,704228.36443,463484.612,1000333.35888,1498368.18162,196000.86059,261792.17417,497987.05599,330724.02452,436331.07169,544040.34996,826731.85592,136309.70638,27437.3289,86284.2446,48421.2335,1203253.90368,2304082.2815,1148613.49719,2044126.6243,949581.2066,943310.00908,3968756.06275,763040.80112,655450.00534
115.9199@635.1,2881621.72905,2229936.25239,2533939.39199,614676.40464,946089.32097,743105.76931,959633.49239,1221166.17193,1115979.09271,2559878.77343,698250.14082,917558.06772,1421447.54623,769998.33217,1030229.28218,1515462.96395,1436158.78238,716612.2275,1101819.43145,2484137.24645,1434343.15427,2704002.77003,1448720.82347,1676873.94326,2581066.91351,1149718.38397,1382879.14482,3055041.07293,958784.6512,946621.85971
116.0708@35.41,128229.6742,59818.70957,90612.77872,122149.87656,119835.08363,109528.91038,115081.04688,78736.65095,95534.48052,96974.45543,99526.7451,83922.93841,124085.86055,148639.19838,102507.58958,85364.25893,72647.25226,64944.30798,100860.7612,46628.18583,138007.67462,104304.30235,34773.90648,103219.81199,133231.6142,97444.01357,25440.46859,45514.41135,122608.04139,122768.74023
116.9277@604.59,56114316.57738,35257727.513,53659105.5876,38753390.33797,45787771.0043,38702782.11701,46756684.23607,54245810.84717,59134491.22602,52240635.1703,38603830.87645,44256147.56858,55148012.51826,40440159.9662,46782890.04757,56410979.13132,57680413.56526,42327093.45727,54911100.63459,58158521.08936,56427804.79157,36478258.75703,56006917.25234,54479568.12488,52921245.35591,50536322.24599,56137448.21177,56306274.1933,71348278.07442,44684573.86712
116.9279@570.44,1293589.57521,21903494.93928,843825.82038,15289066.93473,14808578.75434,14906995.49843,18742774.4325,20750300.67316,425477.14308,459478.54097,13913317.54107,11454428.24115,81498413.05601,11342509.22292,202013.74918,603484.53336,64423378.13953,11060940.93928,20714606.74058,34275143.61064,89427533.84046,85671865.62319,95216031.89944,1818935.10541,670688.255,1017994.0425,91715448.93729,93816566.65377,19789706.28946,16897826.70779
116.955@635.29,69584105.21563,65586638.15998,1785355.95107,40937194.49841,1348964.1243,900997.29448,56308307.32646,1462509.01095,1543956.98899,1701444.46081,1003039.74483,54285749.67773,1818112.77992,50095595.49133,59577218.15583,1862476.04393,1898083.94269,49650433.14097,1480256.23378,1786255.08187,1895752.73015,68802265.1578,1902361.8106,1888232.10019,1741970.41903,62976730.99574,1848882.31157,1854713.8222,1463519.81842,52888476.4485
117.0377@604.77,374289.94448,1759429.90511,2657956.52976,1412012.7935,2274929.47732,900881.50455,2473816.89987,1580181.57258,2684672.15847,1696446.99346,1453767.4792,2031358.04672,331884.22023,1706124.24795,2518673.28297,383604.08963,2980777.11283,1763839.03334,2496584.36168,2947433.03075,408503.77339,307438.34974,2033933.90294,2837003.70279,253333.00935,854255.1859,259040.88909,353339.43464,1532795.78973,2006284.37057
117.1802@636.43,694752.47328,520160.04757,597586.86998,17290.56505,77101.92999,23811.07624,184962.23795,241220.89157,335196.53041,252218.34009,34723.24103,150991.0864,629543.70916,77111.09874,256755.36847,684725.15004,6631.89426,83399.94209,258424.57582,622500.37187,732806.02963,640483.88549,724718.28084,736497.92449,566127.50752,371996.63422,659688.84781,678297.49184,232672.51386,157249.17207
117.9275@571.44,9830049.34067,883186.82845,2452394.71019,922599.74609,1403826.34477,1028804.27296,2374133.31769,1138228.277,6865593.97263,3488781.69039,1112942.67018,1320390.16061,123202.01378,912770.587,2761740.57688,10004413.68327,10456884.8716,1153899.66361,1899892.74381,116295.61344,5092265.81077,9077918.5879,3002660.9272,9576739.75586,8931582.78476,105046.93375,2789085.85866,5958952.25536,2604593.05044,2466315.45066
117.9276@604.72,5895332.291,3853718.06215,5721232.15121,3944056.08619,3181325.66792,2679249.47057,3400768.91313,5771706.32226,5053304.76287,2505415.93503,3994332.40741,4890296.36958,4068088.90083,4204638.41329,4974923.65825,5895606.6141,6016488.65981,2910192.734,5742653.08693,6622934.35639,6666522.41911,5761474.70016,6173801.10976,5737511.68015,5501668.76391,5517922.73801,6102147.52275,5880980.60303,743350.25439,3166525.8954
