,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
165.0409@129.83,37122.38918,375.60608,19.39177,11297.93732,5483.85468,2281.26691,15792.41533,20061.56388,22095.93003,2689.82272,27757.97134,480.41132,13060.50136,37081.95048,580.25635,11845.41073,22912.40132,30332.62137,31312.66714,8114.41856,445.16754,4559.6308,5044.33027,2039.11945,355.41566,31627.08009,4376.81974,244.94902,5844.7438,157.29708
660.3477@391.07,30917.67748,19089.15348,20456.80585,38605.33955,10332.63365,21836.39283,31827.94839,15294.49081,54015.89625,27715.96468,19152.45143,20205.87433,22306.92683,19338.51295,28317.16688,41352.54664,22753.32665,19617.74998,47697.4301,14447.24685,27077.98331,38477.83615,12930.27898,31918.9739,23555.48226,32721.79819,13926.45356,8418.83765,36479.2366,36006.63278
564.3301@391.04,1190425.02879,779228.48032,853784.36363,1616934.99506,413051.14421,963125.8431,1315551.23489,680015.58532,2252813.27271,1132145.2847,751111.91899,817005.25344,888099.55857,752782.91539,1175353.98806,1859312.20116,917466.39771,720016.33054,1977204.44055,597316.81079,1180702.71748,1540835.67095,490948.36214,1348442.96551,950859.99281,1407170.46034,584979.46104,371262.76145,1457706.73587,1540750.62245
578.3458@391.04,4404839.56298,2819262.23338,2910202.563,5661505.62818,1458202.17112,3309378.45414,4545765.73603,2252471.25325,7913585.20199,4144535.06532,2699840.87668,2840892.85061,3178310.88804,2730218.23907,3908156.76913,6573181.20236,3306884.09055,2622411.03208,7043296.72396,2162200.87119,4151093.62298,5692264.98837,1718235.44074,4718890.23629,3374581.10037,5195700.70835,2078414.92693,1351683.13092,5319213.61135,5351373.67332
579.349@391.04,1320354.26419,852923.5012,881845.20358,1687535.46023,441831.18192,993773.42096,1363010.79189,675264.05161,2341577.87579,1238571.25076,813447.86599,853808.34917,953573.97617,819848.93928,1170321.04641,1953870.81001,986199.55532,793426.51493,2083308.12562,657355.2554,1234166.48989,1694383.17404,521741.28942,1407997.17637,1015633.30274,1549441.95973,621470.74549,399959.70603,1586294.3848,1595422.30761
504.3089@391.04,1482059.67975,958923.06323,1019205.80207,1947734.18588,498657.19048,1148801.16637,1562320.16014,771245.98247,2690935.93942,1447745.5928,919450.81064,966454.16845,1079338.46097,934530.60864,1348425.26992,2227541.06298,1120772.11697,918133.84337,2387630.68754,735094.77398,1404017.26808,1968019.92463,584828.81368,1608461.81072,1174686.8388,1767311.9193,703811.47593,452519.10022,1799816.54226,1829318.86757
505.3118@391.03,401245.94799,257906.44749,277682.98674,524936.26846,133195.12534,312414.63532,420119.90485,205016.76207,725500.19054,385227.66228,249153.82535,260059.77669,290040.67778,253422.46588,364136.40329,602043.51836,304030.25756,247538.85989,642561.30822,197871.22406,383124.732,568887.96979,153937.16043,440437.96018,315836.32183,477568.50555,184308.90936,118831.12395,489500.24044,496990.3939
173.9855@96.75,21.78801,40.21861,37.02593,386.02244,28.41913,156.31052,131.73086,21.9934,438.86531,51.60493,23.0032,45.26192,67457.29876,230.81137,0.0,301502.23611,37.32614,11714.63907,25686.83425,35.67111,173.75023,217.24958,303.40875,347.29673,31.15249,178.00218,21352.77663,91.45746,1746.68984,17.83951
565.3329@391.04,344989.2895,225719.9093,244652.60181,476107.09415,117455.19591,282522.37037,384966.33605,195034.48528,654876.75469,330887.39845,220539.77654,238086.51827,256185.70549,217436.18459,343305.80523,543034.35842,266022.55368,213768.54114,573135.0925,168070.16484,338650.50648,444424.39002,140456.66374,395380.2316,273130.71178,409432.74437,168904.68503,102553.0182,426083.11215,449925.71967
