,men_Pt004_RPLCneg,men_Pt007_RPLCneg,men_Pt008_RPLCneg,men_Pt010_RPLCneg,men_Pt013_RPLCneg,men_Pt020_RPLCneg,men_Pt025_RPLCneg,men_Pt027_RPLCneg,men_Pt047_RPLCneg,men_Pt060_RPLCneg,men_Pt063_RPLCneg,men_Pt068_RPLCneg,men_Pt074_RPLCneg,men_Pt089_RPLCneg,men_Pt095_RPLCneg,men_Pt110_RPLCneg,men_Pt116_RPLCneg,woman_Pt003_RPLCneg,woman_Pt005_RPLCneg,woman_Pt019_RPLCneg,woman_Pt022_RPLCneg,woman_Pt032_RPLCneg,woman_Pt036_RPLCneg,woman_Pt038_RPLCneg,woman_Pt044_RPLCneg,woman_Pt055_RPLCneg,woman_Pt058_RPLCneg,woman_Pt070_RPLCneg,woman_Pt085_RPLCneg,woman_Pt086_RPLCneg,woman_Pt087_RPLCneg,woman_Pt092_RPLCneg,woman_Pt105_RPLCneg,woman_Pt113_RPLCneg,woman_Pt119_RPLCneg,woman_Pt122_RPLCneg,woman_Pt123_RPLCneg,woman_Pt164_RPLCneg,woman_Pt170_RPLCneg,men_HCW011_RPLCneg,men_HCW012_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg,men_HCW067_RPLCneg,men_HCW237_RPLCneg,men_HCW282_RPLCneg,men_HCW564_RPLCneg,men_HCW574_RPLCneg,men_HCW578_RPLCneg,woman_HCW002_RPLCneg,woman_HCW008_RPLCneg,woman_HCW019_RPLCneg,woman_HCW035_RPLCneg,woman_HCW045_RPLCneg,woman_HCW080_RPLCneg,woman_HCW099_RPLCneg,woman_HCW103_RPLCneg,woman_HCW105_RPLCneg,woman_HCW114_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC
76.9692@482.31,5.8556844285294515e-05,5.105648956161952e-05,7.664057834317927e-05,7.703739689348688e-05,6.595782406696651e-05,5.514739464867803e-05,7.841102852675353e-05,7.180756563514708e-05,7.281489542025445e-05,7.199802122202762e-05,6.168599181755958e-05,3.1987025400713864e-05,7.038165100730098e-05,7.629801717560693e-05,7.018455120413799e-05,7.26837486743397e-05,5.6678689526780015e-05,5.527928099874658e-05,5.409129035867046e-05,6.309224015478757e-05,6.827477282239803e-05,5.9947857125676696e-05,6.81786989639149e-05,5.3970506951692485e-05,6.786601277333118e-05,7.862284148654439e-05,5.129113395699374e-05,4.838325172753533e-05,5.9463156500741575e-05,6.837744060745859e-05,6.0579034940556345e-05,4.916850074235231e-05,6.163920236155668e-05,5.2690246846959653e-05,6.226362234418703e-05,5.1930416444208096e-05,6.65459980521679e-05,5.758360884112069e-05,5.338718315448671e-05,8.503957437694729e-05,6.586683962954673e-05,6.682935870662597e-05,6.638138278146223e-05,3.3963240879400024e-05,6.792869275989523e-05,6.560619368723931e-05,6.805501782183605e-05,7.264613023007202e-05,4.784684442573374e-05,7.063827138624838e-05,6.528333667474538e-05,5.944887928049237e-05,9.399084291919622e-05,6.33148664508185e-05,8.608732464456692e-05,7.062004524878832e-05,5.4198994395005e-05,5.8316605963325763e-05,6.257611390183148e-05
89.0243@30.62,5.2877936291382155e-05,4.7476106568217274e-05,5.068967395094865e-05,3.125335512122803e-05,3.3670441839578245e-05,4.2050318214374866e-05,3.821383920979138e-05,3.028319951876861e-05,1.967832561033883e-05,4.309087214615795e-05,2.139844252921022e-05,2.009729869247757e-05,3.9292431643912876e-05,5.11606394989635e-05,5.953442666637192e-05,3.2020993990834474e-05,3.6959733954074576e-05,4.426088109295056e-05,3.74571229064173e-05,3.129821776029762e-05,4.878572378549206e-05,3.305666370285255e-05,2.8229454289121814e-05,3.929273060306523e-05,2.9202840059229718e-05,2.195911680417016e-05,4.9608450110179214e-05,2.6094221046575535e-05,2.486128416170004e-05,3.9713070528988077e-05,2.818950816123246e-05,3.271836341191033e-05,1.8656093402032062e-05,2.6028851802441426e-05,8.55831844296696e-05,3.350811381441834e-05,4.0593366251345206e-05,4.529907228278568e-05,2.4690112720673743e-05,4.209948504759018e-05,1.1971524705597784e-05,5.644562237123081e-05,2.543167714480841e-05,2.8869491265211166e-05,2.058515327427889e-05,4.5918085115665435e-05,3.195146015183941e-05,4.589981836835324e-05,9.453689632300468e-06,1.4271295892814048e-05,6.317530397501319e-05,5.604871538734946e-05,3.211895367124205e-05,1.9861648527051843e-05,2.8248806473278053e-05,2.067416467305413e-05,2.7082206219788288e-05,3.322663692170919e-05,2.722234575881473e-05
94.9797@482.45,0.00029825649147533997,0.00027810842164714206,0.00040231582658121064,0.0003653551722657218,0.000319577689165304,0.0002912450913539106,0.0003929416242030458,0.0003920174429678399,0.0003821609661532289,0.00038878255648168333,0.00032010172202653447,0.00032236725843777975,0.00032424813816345666,0.0003753091072144621,0.00037352276925134344,0.000373226573441746,0.0003118072385826628,0.0002975343069758336,0.00026810436090945474,0.00028978697909023764,0.00032258263097016275,0.0003284166018772287,0.0003431896806650243,0.0002779521238015078,0.0003566029393153151,0.00038141369622268024,0.0002824912436278496,0.0002764186577132863,0.0003028282661616271,0.0003299713876624311,0.0003168463356526936,0.00028734749240804476,0.0003293875853726812,0.00029999505401573714,0.00028975904629327623,0.00028753339199509407,0.00037371535741394273,0.0003170156766956492,0.00028374401435504813,0.00041584987888605127,0.00025640843426287833,0.000331065464162758,0.00032870393788395476,0.0003520049155623786,0.000338404585006944,0.000337516797142297,0.0003579924167444589,0.0003689947923078714,0.0002442090522458653,0.0003672645380597691,0.00033845092150198416,0.0003088005791258811,0.0004961001487024417,0.00032765362039364516,0.00044542565898641025,0.00032662730454956993,0.00037090498248295873,0.00030319746248565503,0.0003446432745620369
94.9799@629.66,0.00010363917307929395,7.99929548569213e-05,6.901109185323526e-05,6.367340344107554e-05,5.829674288857285e-05,5.5351948793342794e-05,6.856438506858087e-05,0.00010392698100311473,5.554616714437602e-05,6.384038876082496e-05,5.855420748705841e-05,5.5567181774100456e-05,0.0001035191550470692,6.476645007663457e-05,9.132252871684195e-05,6.366217570378792e-05,5.47466037751711e-05,5.946471569570218e-05,7.510664016618366e-05,5.7576554508781556e-05,6.073788034914617e-05,6.880592811336469e-05,7.83608023574705e-05,6.89185314278778e-05,6.401658382989245e-05,6.564518855817194e-05,5.5639639751543835e-05,7.88938375804414e-05,5.9561398002712054e-05,6.10657848354744e-05,6.100746078063449e-05,5.308181572762873e-05,5.481506412737685e-05,5.491172576285333e-05,5.7305558566417085e-05,5.675888165765412e-05,6.248290862043629e-05,5.697680057098955e-05,7.554778242857111e-05,6.545946514688407e-05,5.263072815995751e-05,6.340382904501793e-05,5.825275019470026e-05,6.84716899586818e-05,5.355012026238773e-05,6.990927146643409e-05,6.17256721543252e-05,8.436138017803893e-05,5.0085610478384945e-05,9.105533331717742e-05,5.704720403464116e-05,8.546811749676918e-05,6.717321868188966e-05,6.229496228406047e-05,5.92322863403948e-05,6.158371169951425e-05,6.33322227578617e-05,6.003170469795476e-05,5.402180508941036e-05
96.9592@638.38,5.3147928853863424e-05,4.776442052132941e-05,5.864969613300263e-05,7.30523107789232e-05,7.164092540834036e-05,4.520782063854925e-05,7.389337505722835e-05,4.94720790955628e-05,4.903749186925431e-05,5.468017087723689e-05,8.029288803660935e-05,4.77251111420636e-05,7.352740275292987e-05,7.428099071826644e-05,6.050252594205854e-05,4.9579598013320064e-05,4.199943429167722e-05,4.938373244195957e-05,4.916453186388387e-05,8.33198273990561e-05,7.165681764281331e-05,5.782022031709921e-05,5.1137619275329884e-05,4.1443160900804754e-05,4.909376310961196e-05,6.649827993460781e-05,5.3077849892871825e-05,4.457795558568417e-05,3.934788925079967e-05,6.79737667320145e-05,5.646060277513007e-05,4.982755862835547e-05,4.4453374128463144e-05,4.790392990385231e-05,7.14256410554948e-05,4.350156952653447e-05,5.1027593356139414e-05,4.323272279365524e-05,4.568733175228909e-05,8.411974119031869e-05,4.895372896100566e-05,5.433306671384325e-05,5.7690088430821895e-05,5.888310614541387e-05,4.956381176446349e-05,5.365228010878439e-05,4.910933958451878e-05,6.475132674295908e-05,3.996255495640876e-05,5.158541919736955e-05,4.515075924147304e-05,5.297134145089489e-05,5.820392905169182e-05,4.8459966476731055e-05,5.521029878328614e-05,9.302151128313644e-05,5.1038403029510205e-05,5.31015421128105e-05,4.704233602903478e-05
96.9601@27.71,5.531234210251001e-05,9.154426004919106e-05,8.85866360565227e-05,0.00013348375614110407,9.70176967217093e-05,6.890514576829018e-05,7.895279995585683e-05,6.68885200426771e-05,2.196447104856583e-05,7.816705763174256e-05,0.00014393586718625595,6.529963231711485e-05,4.546468036175434e-05,3.9113980874586465e-05,6.123217943677799e-05,0.00016008844998829705,5.3081375391173166e-05,6.388693379026514e-05,0.00012723531026708054,7.791435527121723e-05,5.047727586092594e-05,7.924917506130771e-05,0.0004969193824040042,6.714830928072305e-05,0.00010245778121534765,4.252805913404561e-05,6.4245650439175e-05,5.2426798188316714e-05,1.7484412563413812e-05,8.07973194655884e-05,5.986743269802202e-05,0.00011093961035594656,2.0158303105715798e-05,2.158627558315883e-05,9.292376052824406e-05,7.663416468051404e-05,7.134111260282722e-05,4.69594787571006e-05,8.440404136787999e-05,6.232378115830271e-05,1.2387502075637855e-05,6.52249568576115e-05,5.4312946771510696e-05,7.071817701278075e-05,2.0363701490161028e-05,4.573657010053808e-05,8.574741265494433e-05,8.092109033765265e-05,5.9666299596522125e-05,7.399630841671564e-05,7.849507181681098e-05,6.093743344688842e-05,1.942886040496778e-05,5.5470829384586165e-05,8.75014782536943e-05,7.48766034290134e-05,8.07318928135471e-05,8.663294547088551e-05,7.134327653533861e-05
97.9303@635.47,0.00024191915544930184,0.00023326649821937793,0.00030212241634628144,0.00019940330757221804,0.00018417521677652044,0.00032686352693894174,0.0002606938609109682,0.00032359609982149205,0.0003562869034308459,0.00038012380713472625,0.00021353903519628927,0.00029333408224447845,0.00017916531110257042,0.00019374461230319906,0.00027532278344907866,0.00035412749346890526,0.0002828470045329554,0.00024435034222888575,0.00028709120087220803,0.00015329233464360812,0.00017297933187637537,0.000246394612235222,0.0002987457007467884,0.00025710809232236886,0.0003557900906295012,0.000210111490158258,0.00020848264788147795,0.0002887469413784961,0.00030225393442410276,0.00021565524174906,0.00024036120576167538,0.000313773604547023,0.00033421791015395463,0.00027721030818905664,0.00015775661461652364,0.0003231017705171794,0.0003108773653540738,0.0003124695776320342,0.00033231028071999965,0.00021529076167595818,0.00031579607156305385,0.00023061092783942637,0.0002078321906251623,0.00026011334552736315,0.0003229779874552264,0.0002532883869838483,0.00031298999891188133,0.00023199501499472468,0.00029455052717597516,0.0003538202329649464,0.00030716179023517875,0.00022567303410057313,0.0004153160224728785,0.00024079258382774844,0.00036333377583333673,0.00015643448563340667,0.0003613770576275672,0.0002248853778210482,0.0003214125016148135
98.9387@635.25,2.9943336486596603e-05,2.7922951389335624e-05,3.3981921499376654e-05,2.7188437695531476e-05,2.4719944109031037e-05,4.203413531096377e-05,2.9042332420920195e-05,1.0873502170886384e-05,4.474444402153468e-05,6.708818325595448e-06,2.244572144395239e-05,9.548814264096012e-06,1.7384284732816543e-05,2.2562799692281733e-05,3.249381164663299e-05,2.117437995520283e-05,4.689063656452491e-06,2.9254992190912836e-05,6.554519805786278e-06,1.4694701885545112e-05,1.4072862914776435e-05,3.097122980661327e-05,8.916420384230867e-06,7.47090586477219e-06,5.103284343929839e-05,2.655621860445633e-05,2.4392330202744602e-05,8.818209896481993e-06,8.460999214229721e-06,2.6132081917463e-05,2.605919231132053e-05,3.895253116189987e-05,4.012343720460762e-05,9.29648224409964e-06,1.3378383020584175e-05,3.881008862233363e-05,7.274796631424219e-06,3.7039258665006524e-05,4.520804904669822e-05,2.8531555268166118e-05,3.765168422241596e-05,2.819650594266082e-05,2.7312423362993312e-05,2.9426332173939673e-05,8.248824519721124e-06,2.8262654584792987e-05,6.261621442536616e-06,2.5336611961839526e-05,3.6819638192071964e-05,3.9161268311509044e-05,3.8249767545558584e-05,2.6010387702109064e-05,5.178881882191119e-05,3.0105227252230035e-05,4.557950290840852e-05,1.6099700444981614e-05,8.109280411386017e-06,2.4989857838521342e-05,3.752948825062169e-05
99.9248@658.25,0.00025138082960557374,0.0002639969765791195,0.0003193613040351408,0.0001543915136410681,0.00014375998962964663,0.0003880629526657286,0.00020863996930682843,0.0003443336558058151,0.00042168450301077715,0.0004083589333460119,0.0001640857979520238,0.0003234324932087306,0.00013562373619685958,0.0001422229007393002,0.0003005242836469976,0.00038649679642485175,0.0003072906841160672,0.0002695431617427663,0.0003028312576054121,0.00012085556909931724,0.00012891247859884425,0.00023684467171782988,0.0003302506901483114,0.00026934160689828443,0.00044827546074582164,0.00017424811009675517,0.0001878996818678719,0.0003139029310227735,0.0003290414913743095,0.0001865757511539442,0.00024378904168385546,0.000363288535761493,0.0004057833182763242,0.0002941628496493365,0.0001263067894211829,0.00039947684053380945,0.0003373355618809061,0.0003589905028063369,0.0004006360983073303,0.00016859436258555058,0.0003697323315953021,0.0002304600406899312,0.0001794701882649651,0.0002763532311845723,0.00034076891875516697,0.00027556023298731694,0.0003387401578774332,0.0002229017820077658,0.0003701934371703504,0.00041506024770668104,0.00036595046663638484,0.00023401945649895606,0.0005027712787524721,0.0002632554608543189,0.00044554425597174464,0.00012682621479371298,0.0004363080505612644,0.00019674405881799184,0.00038322268903325055
