,men_Pt004_RPLCneg,men_Pt007_RPLCneg,men_Pt008_RPLCneg,men_Pt010_RPLCneg,men_Pt013_RPLCneg,men_Pt020_RPLCneg,men_Pt025_RPLCneg,men_Pt027_RPLCneg,men_Pt047_RPLCneg,men_Pt060_RPLCneg,men_Pt063_RPLCneg,men_Pt068_RPLCneg,men_Pt074_RPLCneg,men_Pt089_RPLCneg,men_Pt095_RPLCneg,men_Pt110_RPLCneg,men_Pt116_RPLCneg,woman_Pt003_RPLCneg,woman_Pt005_RPLCneg,woman_Pt019_RPLCneg,woman_Pt022_RPLCneg,woman_Pt032_RPLCneg,woman_Pt036_RPLCneg,woman_Pt038_RPLCneg,woman_Pt044_RPLCneg,woman_Pt055_RPLCneg,woman_Pt058_RPLCneg,woman_Pt070_RPLCneg,woman_Pt085_RPLCneg,woman_Pt086_RPLCneg,woman_Pt087_RPLCneg,woman_Pt092_RPLCneg,woman_Pt105_RPLCneg,woman_Pt113_RPLCneg,woman_Pt119_RPLCneg,woman_Pt122_RPLCneg,woman_Pt123_RPLCneg,woman_Pt164_RPLCneg,woman_Pt170_RPLCneg,men_HCW011_RPLCneg,men_HCW012_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg,men_HCW067_RPLCneg,men_HCW237_RPLCneg,men_HCW282_RPLCneg,men_HCW564_RPLCneg,men_HCW574_RPLCneg,men_HCW578_RPLCneg,woman_HCW002_RPLCneg,woman_HCW008_RPLCneg,woman_HCW019_RPLCneg,woman_HCW035_RPLCneg,woman_HCW045_RPLCneg,woman_HCW080_RPLCneg,woman_HCW099_RPLCneg,woman_HCW103_RPLCneg,woman_HCW105_RPLCneg,woman_HCW114_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC
76.9692@482.31,5.867108439543783e-05,5.120571615961311e-05,7.690451843700511e-05,7.736948974715154e-05,6.63379687556946e-05,5.529593332980313e-05,7.876057589519997e-05,7.204029322130159e-05,7.288717458681597e-05,7.221677697704446e-05,6.185485870856638e-05,3.2162054293056834e-05,7.06818995761916e-05,7.652055386721038e-05,7.032377451688702e-05,7.286743079428866e-05,5.6839896908481725e-05,5.5455146606352983e-05,5.4212133302715236e-05,6.333005332600002e-05,6.85455058843775e-05,6.022101270782628e-05,6.843847390503762e-05,5.407581900175336e-05,6.821567952621694e-05,7.87665124141085e-05,5.1430503729454064e-05,4.851387973008589e-05,5.954948239857773e-05,6.868472648845743e-05,6.081914046167013e-05,4.9295864214632055e-05,6.170948460530563e-05,5.286921055332327e-05,6.248872521207665e-05,5.215569338198466e-05,6.673164985462436e-05,5.770344708030326e-05,5.351015637935494e-05,8.512217068916269e-05,6.595551972200827e-05,6.714262275260511e-05,6.646749163572483e-05,3.40198987607522e-05,6.80378364156551e-05,6.568246766861821e-05,6.816454861382023e-05,7.301156392036522e-05,4.7912449619265645e-05,7.090603101611547e-05,6.54060062827068e-05,5.9529391430883006e-05,9.44866261161683e-05,6.338213287573004e-05,8.660783015431082e-05,7.072060915408727e-05,5.449990547014567e-05,5.83906440985833e-05,6.269140365989057e-05
89.0243@30.62,5.298109726837483e-05,4.761486851464145e-05,5.0864242535735506e-05,3.138808210198458e-05,3.386449978211207e-05,4.21635801163785e-05,3.8384192120408555e-05,3.038134705883212e-05,1.969785915448845e-05,4.322179763703496e-05,2.145702128195173e-05,2.0207268528220772e-05,3.946005340612607e-05,5.130985857274639e-05,5.9652523597404485e-05,3.210191557463256e-05,3.7064856037680855e-05,4.440169274255908e-05,3.754080419738752e-05,3.141618992930943e-05,4.897917603491497e-05,3.3207288139665125e-05,2.833701434728256e-05,3.936940207135443e-05,2.9353302151244134e-05,2.199924365051778e-05,4.9743247644773836e-05,2.616467178834507e-05,2.4897376639848113e-05,3.9891539710581546e-05,2.8301237517001095e-05,3.280311532235168e-05,1.867736545056043e-05,2.611725943136152e-05,8.58925949575658e-05,3.365347381319459e-05,4.070661470854664e-05,4.539334496156049e-05,2.4746984475357548e-05,4.214037497720912e-05,1.198764261749046e-05,5.6710212431408494e-05,2.546466670436798e-05,2.8917651693028122e-05,2.061822823555738e-05,4.597146963581857e-05,3.200288426202984e-05,4.6130709400773185e-05,9.466652057416724e-06,1.4325392303031805e-05,6.329401251790015e-05,5.612462266528445e-05,3.228837483015448e-05,1.988274976542059e-05,2.8419605827001006e-05,2.0703604964843687e-05,2.7232565758406015e-05,3.326882110231994e-05,2.7272500002353376e-05
94.9797@482.45,0.00029883836802372597,0.00027892126980791663,0.0004037013494897146,0.0003669301455469013,0.00032141955952550333,0.000292029555643284,0.00039469331287840076,0.0003932879674930122,0.00038254031540541804,0.0003899638170251955,0.0003209780082142384,0.0003241312106485641,0.00032563138277417103,0.00037640376275257283,0.00037426371688768453,0.00037416976981619597,0.0003126940909242965,0.00029848088317463114,0.00026870332092813267,0.00029087927126918785,0.0003238617825486107,0.00032991304949645374,0.00034449730431351696,0.0002784944886898442,0.00035844026829287513,0.0003821106700089984,0.00028325883711446384,0.00027716494937074114,0.0003032678984230971,0.0003314542678004046,0.0003181021588035499,0.000288091822087238,0.00032976315964483436,0.0003010139945212418,0.0002908066177300458,0.0002887807273043873,0.00037475795849801043,0.000317675423475211,0.0002843975966274323,0.0004162537810302337,0.00025675365082080396,0.00033261734059543283,0.00032913032730666345,0.00035259213433847057,0.00033894831273131095,0.00033790919530554084,0.000358568585764545,0.0003708509562662955,0.0002445438994510912,0.00036865668165054984,0.0003390868822841617,0.0003092187905197409,0.0004987169793436295,0.0003280017232783021,0.0004481188139966393,0.00032709242627537824,0.0003729642350262912,0.00030358239872065084,0.00034527824271942813
94.9799@629.66,0.00010384136550773249,8.022675621340404e-05,6.924875699685154e-05,6.394788678428252e-05,5.8632733311130416e-05,5.550103843799139e-05,6.887003723027512e-05,0.00010426380728612888,5.5601304635732843e-05,6.403435870898335e-05,5.8714501042894403e-05,5.5871238251834834e-05,0.00010396076841803752,6.495535290871971e-05,9.150368289904362e-05,6.382305903200243e-05,5.4902315855414005e-05,5.9653896853054854e-05,7.527443256778495e-05,5.7793577441897054e-05,6.097872702860481e-05,6.911944596454904e-05,7.865937321798976e-05,6.905301139187649e-05,6.434641713059628e-05,6.576514485779115e-05,5.5790825411397814e-05,7.910683989113183e-05,5.9647866523078883e-05,6.134021238534101e-05,6.124926437121556e-05,5.321931604315414e-05,5.487756535306626e-05,5.5098234776445274e-05,5.75127364512502e-05,5.7005104737054906e-05,6.265722510749254e-05,5.7095375971039994e-05,7.572180087060055e-05,6.55230439037198e-05,5.2701587758896724e-05,6.370103584756117e-05,5.8328314718467786e-05,6.858591524417318e-05,5.36361613100563e-05,6.999054822050798e-05,6.182501621407579e-05,8.478574539032284e-05,5.015428535565293e-05,9.140048534125681e-05,5.7154397669505285e-05,8.558386773483568e-05,6.752754418929725e-05,6.236114515133544e-05,5.9590419567582375e-05,6.167140774288962e-05,6.368384122336726e-05,6.010792030410583e-05,5.4121334453736874e-05
96.9592@638.38,5.325161656655117e-05,4.790402514437994e-05,5.885167798954455e-05,7.33672247211338e-05,7.205382437331978e-05,4.5329587226018516e-05,7.422278324485425e-05,4.963241759817206e-05,4.90861685723124e-05,5.484630880521984e-05,8.051269175497706e-05,4.7986256817083256e-05,7.38410711186879e-05,7.449764439467094e-05,6.0622543267051296e-05,4.9704892674580696e-05,4.211889045574247e-05,4.95408419403985e-05,4.927436815607843e-05,8.363388428354825e-05,7.1940961680943e-05,5.808368120958155e-05,5.1332464179064925e-05,4.1524028479821065e-05,4.9346709408237386e-05,6.661979512509171e-05,5.3222074582239296e-05,4.4698309821665215e-05,3.940501272132197e-05,6.827923851641438e-05,5.668438485526758e-05,4.9956629289171114e-05,4.4504060749254144e-05,4.806663676817726e-05,7.168386754533131e-05,4.369028167333461e-05,5.1169951498760645e-05,4.3322695156953176e-05,4.5792568968213104e-05,8.420144409696821e-05,4.901963801683732e-05,5.4587754124266435e-05,5.776492307886531e-05,5.8981335641635426e-05,4.964344785621766e-05,5.371465643004243e-05,4.918837835389497e-05,6.507704700098413e-05,4.001734960762163e-05,5.1780957571678006e-05,4.523559905232564e-05,5.30430810137076e-05,5.8510943321649927e-05,4.8511450889143964e-05,5.554411406712677e-05,9.31539751808653e-05,5.1321766602958493e-05,5.316895925913421e-05,4.712900647245397e-05
96.9601@27.71,5.5420252426763304e-05,9.181182326417656e-05,8.889171680536277e-05,0.00013405917799181986,9.757685346532694e-05,6.90907407459017e-05,7.930476247917244e-05,6.710530505235247e-05,2.1986273918050052e-05,7.840455712713765e-05,0.0001443298950956717,6.565694351350426e-05,4.565863297608375e-05,3.9228063733112617e-05,6.135364415688763e-05,0.0001604930161589956,5.323235117440636e-05,6.409018380050658e-05,0.00012751956101017008,7.820803734471094e-05,5.0677435698729566e-05,7.961027811964327e-05,0.0004988127480045278,6.727933502993094e-05,0.00010298567549116293,4.260577250064194e-05,6.442022060349972e-05,5.256834319992585e-05,1.750979563591612e-05,8.116041985767328e-05,6.010471777758475e-05,0.00011122698242902108,2.0181288003608065e-05,2.1659593893778425e-05,9.325970958167957e-05,7.696660780595747e-05,7.154014194390916e-05,4.705720693635921e-05,8.459845951369008e-05,6.238431432212333e-05,1.240418004038633e-05,6.553070023566376e-05,5.438340064610859e-05,7.08361499146266e-05,2.0396420636299978e-05,4.5789743590724285e-05,8.58854183791259e-05,8.132814977180262e-05,5.974811103423226e-05,7.427679693610271e-05,7.86425667240435e-05,6.1019961559537045e-05,1.9531343819584887e-05,5.55297622164587e-05,8.803053409007702e-05,7.498322873107623e-05,8.118011368804556e-05,8.674293372600731e-05,7.147471884739724e-05
97.9303@635.47,0.0002423911219854365,0.00023394828355663942,0.00030316288629889923,0.00020026289546215396,0.00018523670161843783,0.00032774392895083577,0.000261856004231413,0.0003246448714729796,0.00035664056898633616,0.00038127875929894206,0.00021412360345757035,0.0002949391686461839,0.0001799296314543026,0.00019430970280795898,0.00027586893426616624,0.0003550224237651401,0.0002836514872301319,0.0002451277188631059,0.0002877325785448926,0.00015387013844538657,0.00017366525468859585,0.00024751732231979655,0.000299883983641615,0.00025760978448386633,0.0003576232315584499,0.00021049543599527127,0.0002090491430426403,0.000289526517675006,0.0003026927328969579,0.0002166243890345413,0.00024131387944856353,0.00031458638702323177,0.0003345989920584368,0.00027815185975057827,0.0001583269551306433,0.00032450340336428926,0.0003117446593298235,0.00031311986344661146,0.00033307573161031454,0.0002154998669436969,0.00031622124491253756,0.000231691921488028,0.00020810178717563693,0.00026054726969618257,0.0003234969286691466,0.0002535828609142274,0.00031349373902629435,0.00023316202546301324,0.0002949544000869735,0.0003551614149157356,0.0003077389576764908,0.0002259786651146565,0.0004175067327482651,0.0002410484045720263,0.0003655305827730125,0.00015665725046941475,0.0003633834114382922,0.00022517088987624272,0.00032200466957216657
98.9387@635.25,3.0001753740805542e-05,2.8004563875378988e-05,3.409895077737565e-05,2.7305641627973226e-05,2.4862416296245133e-05,4.214735362455957e-05,2.9171799806593068e-05,1.0908743080265403e-05,4.4788859262447536e-05,6.729202116610492e-06,2.250716714799254e-05,9.601064148631889e-06,1.7458446201573134e-05,2.2628608097043746e-05,3.2558268796015186e-05,2.122789061019399e-05,4.702400444599863e-06,2.9348064077598412e-05,6.569162966725479e-06,1.475009052996239e-05,1.4128666678161274e-05,3.111235185356114e-05,8.950393789642502e-06,7.485483760309381e-06,5.129578048137195e-05,2.6604745934267352e-05,2.445860975727705e-05,8.842017828022764e-06,8.473282506889274e-06,2.6249518600424566e-05,2.6162478142067976e-05,3.9053431729294865e-05,4.016918674525091e-05,9.328057972400551e-06,1.342675014527557e-05,3.89784488728059e-05,7.295092053337785e-06,3.711634170353732e-05,4.531218227218019e-05,2.85592670866246e-05,3.770237672348259e-05,2.83286776663616e-05,2.73478525960761e-05,2.9475421530366553e-05,8.262078224852568e-06,2.829551284204527e-05,6.271699176371051e-06,2.546406337018597e-05,3.6870123433436525e-05,3.930971201635113e-05,3.8321640158516556e-05,2.6045613803454226e-05,5.206199464803936e-05,3.01372113836343e-05,4.585508799010512e-05,1.6122626637469696e-05,8.15430287562997e-06,2.5021584693062202e-05,3.759863229538106e-05
99.9248@658.25,0.00025187125517431075,0.000264768580170235,0.00032046114245459973,0.0001550570646645218,0.00014458854328923718,0.0003891081944137694,0.0002095700623510622,0.0003454496376642535,0.00042210308500905677,0.00040959967392840236,0.00016453498678310361,0.00032520227424728837,0.00013620230791431593,0.00014263771903959656,0.00030112042604034525,0.0003874735285309362,0.000308164690325831,0.00027040068685994567,0.00030350779943821295,0.0001213111092113133,0.00012942366111349306,0.00023792386699325867,0.000331509013567396,0.00026986717018073677,0.0004505851149947147,0.00017456652122424128,0.00018841024839052375,0.0003147504249676862,0.00032951917880026844,0.00018741421620260685,0.00024475530162762596,0.00036422957908507263,0.0004062460004816692,0.00029516198093070315,0.00012676342877916097,0.00040120979253978453,0.0003382766696398844,0.00035973760411876554,0.0004015589324052619,0.00016875811308303247,0.00037023012225197095,0.00023154032705179756,0.00017970299408548657,0.00027681424692330424,0.0003413164453459368,0.00027588060024074783,0.00033928534145032265,0.00022402305055316604,0.00037070102784600087,0.0004166335644954059,0.00036663809999831363,0.00023433639114775037,0.0005054232982916514,0.0002635351464113257,0.00044823812804902814,0.0001270068170491917,0.0004387304188367728,0.0001969938429574708,0.0003839287356115138
